,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,100.0,2000.0,False,71.0,Orange-Blue,switch,practice,twobytwo,500.0,-1.0,"89,71",-1.0,#1F45FC,1000.0,7.0,color,stay,,-110588,stim,0.0,poldrack-categorize,s358
13,100.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",927.0,#1F45FC,1000.0,1.0,color,stay,,-106980,stim,1.0,poldrack-categorize,s358
18,100.0,2000.0,True,71.0,Color,switch,practice,twobytwo,500.0,71.0,"89,71",1039.0,#1F45FC,1000.0,2.0,color,stay,,-103369,stim,2.0,poldrack-categorize,s358
23,100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",754.0,#1F45FC,1000.0,8.0,magnitude,switch,,-99758,stim,3.0,poldrack-categorize,s358
28,100.0,2000.0,False,71.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",1264.0,#1F45FC,1000.0,7.0,color,switch,,-96147,stim,4.0,poldrack-categorize,s358
33,900.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",399.0,orange,1000.0,2.0,magnitude,switch,,-91736,stim,5.0,poldrack-categorize,s358
38,900.0,2000.0,True,71.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",461.0,#1F45FC,1000.0,1.0,magnitude,stay,,-87325,stim,6.0,poldrack-categorize,s358
43,100.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",922.0,#1F45FC,1000.0,7.0,color,switch,,-83715,stim,7.0,poldrack-categorize,s358
48,100.0,2000.0,True,89.0,Orange-Blue,stay,practice,twobytwo,500.0,89.0,"89,71",753.0,orange,1000.0,2.0,color,stay,,-80104,stim,8.0,poldrack-categorize,s358
53,100.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",822.0,orange,1000.0,3.0,magnitude,switch,,-76493,stim,9.0,poldrack-categorize,s358
58,900.0,2000.0,True,89.0,High-Low,switch,practice,twobytwo,500.0,89.0,"89,71",498.0,orange,1000.0,9.0,magnitude,stay,,-72082,stim,10.0,poldrack-categorize,s358
63,900.0,2000.0,True,71.0,High-Low,stay,practice,twobytwo,500.0,71.0,"89,71",581.0,orange,1000.0,3.0,magnitude,stay,,-67672,stim,11.0,poldrack-categorize,s358
68,900.0,2000.0,False,89.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",949.0,orange,1000.0,1.0,color,switch,,-63260,stim,12.0,poldrack-categorize,s358
73,900.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",725.0,orange,1000.0,4.0,magnitude,switch,,-58849,stim,13.0,poldrack-categorize,s358
78,900.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",587.0,orange,1000.0,3.0,color,switch,,-54438,stim,14.0,poldrack-categorize,s358
83,900.0,2000.0,True,89.0,Orange-Blue,switch,practice,twobytwo,500.0,89.0,"89,71",1063.0,orange,1000.0,3.0,color,stay,,-50027,stim,15.0,poldrack-categorize,s358
107,900.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",357.0,#1F45FC,1000.0,7.0,color,stay,,6548,stim,0.0,poldrack-single-stim,s358
110,100.0,2272.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",731.0,#1F45FC,1000.0,1.0,magnitude,switch,,8926,stim,1.0,poldrack-single-stim,s358
113,900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",600.0,#1F45FC,1000.0,2.0,color,switch,,11967,stim,2.0,poldrack-single-stim,s358
