,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
4,23735.0,,,,,ward_and_allport,,32,,,32,,,23735,,23735.0,,-40334,instruction,poldrack-single-stim,s573
23,1500.0,,,,,ward_and_allport,,-1,,,none,,,-1,,1500.0,,2513,practice_start_block,poldrack-single-stim,s573
24,3524.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,3524,"1,0,0,2,3,0,0,0,0",3524.0,,6540,to_hand,poldrack-single-stim,s573
25,942.0,UA_with_intermeidate,,"1,3,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",0.0,,942,"1,0,0,2,3,0,0,0,0",942.0,,7482,to_board,poldrack-single-stim,s573
26,6042.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71",0.0,,6042,"1,0,0,2,3,0,0,0,0",6042.0,,13527,to_hand,poldrack-single-stim,s573
27,1777.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",0.0,,1777,"1,0,0,2,3,0,0,0,0",1777.0,,15304,to_board,poldrack-single-stim,s573
28,1808.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,82",0.0,,1808,"1,0,0,2,3,0,0,0,0",1808.0,,17114,to_hand,poldrack-single-stim,s573
29,835.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",0.0,,835,"1,0,0,2,3,0,0,0,0",835.0,,17950,to_board,poldrack-single-stim,s573
30,1059.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,4.0,"89,71,82",0.0,,1059,"1,0,0,2,3,0,0,0,0",1059.0,,19011,to_hand,poldrack-single-stim,s573
31,1018.0,UA_with_intermeidate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,4.0,"89,71,82",0.0,,1018,"1,0,0,2,3,0,0,0,0",1018.0,,20030,to_board,poldrack-single-stim,s573
32,1785.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,5.0,"89,71",0.0,,1785,"1,0,0,2,3,0,0,0,0",1785.0,,21817,to_hand,poldrack-single-stim,s573
