,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
7,1500.0,BX,0.0,71.0,practice,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,-137602,probe,0.0,poldrack-single-stim,s549
11,2100.0,AX,0.0,89.0,practice,dot_pattern_expectancy,71.0,"89,71",761,500.0,,-132491,probe,1.0,poldrack-single-stim,s549
15,1900.0,BY,0.0,71.0,practice,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,-127580,probe,2.0,poldrack-single-stim,s549
19,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",425,500.0,,-123070,probe,3.0,poldrack-single-stim,s549
23,1500.0,AY,0.0,71.0,practice,dot_pattern_expectancy,89.0,"89,71",432,500.0,,-118560,probe,4.0,poldrack-single-stim,s549
27,1700.0,BY,0.0,71.0,practice,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,-113851,probe,5.0,poldrack-single-stim,s549
31,2500.0,AX,0.0,89.0,practice,dot_pattern_expectancy,71.0,"89,71",316,500.0,,-108341,probe,6.0,poldrack-single-stim,s549
35,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",1368,500.0,,-103831,probe,7.0,poldrack-single-stim,s549
39,1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",1350,500.0,,-99322,probe,8.0,poldrack-single-stim,s549
43,2300.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",763,500.0,,-94012,probe,9.0,poldrack-single-stim,s549
47,2300.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",822,500.0,,-88701,probe,10.0,poldrack-single-stim,s549
51,1700.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",774,500.0,,-83990,probe,11.0,poldrack-single-stim,s549
55,1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",294,500.0,,-79481,probe,12.0,poldrack-single-stim,s549
59,2500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",824,500.0,,-73972,probe,13.0,poldrack-single-stim,s549
63,2100.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",750,500.0,,-68862,probe,14.0,poldrack-single-stim,s549
67,1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",951,500.0,,-64352,probe,15.0,poldrack-single-stim,s549
71,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",757,500.0,,-59843,probe,16.0,poldrack-single-stim,s549
75,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",818,500.0,,-55333,probe,17.0,poldrack-single-stim,s549
79,1900.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",879,500.0,,-50424,probe,18.0,poldrack-single-stim,s549
83,1500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",829,500.0,,-45914,probe,19.0,poldrack-single-stim,s549
106,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",462,500.0,,7693,probe,0.0,poldrack-single-stim,s549
109,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",840,500.0,,12517,probe,1.0,poldrack-single-stim,s549
112,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",639,500.0,,16658,probe,2.0,poldrack-single-stim,s549
115,1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",295,500.0,,21072,probe,3.0,poldrack-single-stim,s549
118,3540.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",485,500.0,,27117,probe,4.0,poldrack-single-stim,s549
121,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",346,500.0,,31259,probe,5.0,poldrack-single-stim,s549
124,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",369,500.0,,35264,probe,6.0,poldrack-single-stim,s549
127,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",891,500.0,,39270,probe,7.0,poldrack-single-stim,s549
130,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",429,500.0,,43549,probe,8.0,poldrack-single-stim,s549
133,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",304,500.0,,48511,probe,9.0,poldrack-single-stim,s549
136,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",402,500.0,,52929,probe,10.0,poldrack-single-stim,s549
139,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",275,500.0,,57070,probe,11.0,poldrack-single-stim,s549
142,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",411,500.0,,61079,probe,12.0,poldrack-single-stim,s549
145,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",446,500.0,,65222,probe,13.0,poldrack-single-stim,s549
148,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",524,500.0,,69364,probe,14.0,poldrack-single-stim,s549
151,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",830,500.0,,74322,probe,15.0,poldrack-single-stim,s549
154,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",403,500.0,,78329,probe,16.0,poldrack-single-stim,s549
157,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",396,500.0,,82336,probe,17.0,poldrack-single-stim,s549
160,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",407,500.0,,86479,probe,18.0,poldrack-single-stim,s549
163,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",491,500.0,,90621,probe,19.0,poldrack-single-stim,s549
166,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",622,500.0,,94763,probe,20.0,poldrack-single-stim,s549
169,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",453,500.0,,98771,probe,21.0,poldrack-single-stim,s549
172,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",643,500.0,,102778,probe,22.0,poldrack-single-stim,s549
175,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",442,500.0,,107057,probe,23.0,poldrack-single-stim,s549
178,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",443,500.0,,111745,probe,24.0,poldrack-single-stim,s549
181,1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",284,500.0,,116025,probe,25.0,poldrack-single-stim,s549
184,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",314,500.0,,120030,probe,26.0,poldrack-single-stim,s549
187,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",378,500.0,,124036,probe,27.0,poldrack-single-stim,s549
190,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",419,500.0,,128178,probe,28.0,poldrack-single-stim,s549
193,2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",777,500.0,,132865,probe,29.0,poldrack-single-stim,s549
196,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",563,500.0,,137689,probe,30.0,poldrack-single-stim,s549
199,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",810,500.0,,141831,probe,31.0,poldrack-single-stim,s549
202,2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",507,500.0,,146519,probe,32.0,poldrack-single-stim,s549
205,2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",755,500.0,,151071,probe,33.0,poldrack-single-stim,s549
208,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",686,500.0,,155349,probe,34.0,poldrack-single-stim,s549
211,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",638,500.0,,159355,probe,35.0,poldrack-single-stim,s549
214,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",512,500.0,,164042,probe,36.0,poldrack-single-stim,s549
217,2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",701,500.0,,169002,probe,37.0,poldrack-single-stim,s549
220,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",454,500.0,,173144,probe,38.0,poldrack-single-stim,s549
223,1908.0,AX,0.0,89.0,test,dot_pattern_expectancy,71.0,"89,71",444,500.0,,177559,probe,39.0,poldrack-single-stim,s549
