,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
456,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",494,500.0,,593739,probe,8.0,poldrack-single-stim,s546
459,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",378,500.0,,598424,probe,9.0,poldrack-single-stim,s546
462,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",385,500.0,,602431,probe,10.0,poldrack-single-stim,s546
465,3676.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",359,500.0,,608612,probe,11.0,poldrack-single-stim,s546
468,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",249,500.0,,612755,probe,12.0,poldrack-single-stim,s546
471,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",173,500.0,,616897,probe,13.0,poldrack-single-stim,s546
474,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",222,500.0,,620902,probe,14.0,poldrack-single-stim,s546
477,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",433,500.0,,625316,probe,15.0,poldrack-single-stim,s546
480,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",668,500.0,,629457,probe,16.0,poldrack-single-stim,s546
483,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",294,500.0,,633463,probe,17.0,poldrack-single-stim,s546
486,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",382,500.0,,637877,probe,18.0,poldrack-single-stim,s546
489,2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",84,500.0,,642562,probe,19.0,poldrack-single-stim,s546
492,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",387,500.0,,646839,probe,20.0,poldrack-single-stim,s546
495,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",437,500.0,,650845,probe,21.0,poldrack-single-stim,s546
498,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",517,500.0,,654850,probe,22.0,poldrack-single-stim,s546
501,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1439,500.0,,659402,probe,23.0,poldrack-single-stim,s546
504,2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",400,500.0,,664769,probe,24.0,poldrack-single-stim,s546
507,1500.0,BX,0.0,71.0,test,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,668776,probe,25.0,poldrack-single-stim,s546
510,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",302,500.0,,673053,probe,26.0,poldrack-single-stim,s546
513,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",387,500.0,,677331,probe,27.0,poldrack-single-stim,s546
516,2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",398,500.0,,682696,probe,28.0,poldrack-single-stim,s546
519,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",636,500.0,,686974,probe,29.0,poldrack-single-stim,s546
522,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",223,500.0,,691116,probe,30.0,poldrack-single-stim,s546
525,2452.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",400,500.0,,696073,probe,31.0,poldrack-single-stim,s546
528,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",523,500.0,,700214,probe,32.0,poldrack-single-stim,s546
531,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",333,500.0,,704221,probe,33.0,poldrack-single-stim,s546
534,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",506,500.0,,708363,probe,34.0,poldrack-single-stim,s546
537,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",440,500.0,,712506,probe,35.0,poldrack-single-stim,s546
540,2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",270,500.0,,717193,probe,36.0,poldrack-single-stim,s546
543,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",755,500.0,,721199,probe,37.0,poldrack-single-stim,s546
546,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",627,500.0,,725342,probe,38.0,poldrack-single-stim,s546
549,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",553,500.0,,729484,probe,39.0,poldrack-single-stim,s546
