,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
205,PA_with_intermediate,,"0,0,0,2,3,0,1,0,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",71,3.0,3.0,"89,71,82",18.0,,365,"0,0,0,0,0,0,1,2,3",,261119,to_board,poldrack-single-stim,s061
206,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8238.0,-1,,,263271,feedback,poldrack-single-stim,s061
207,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,1.0,89,19.0,,2074,"1,2,3,0,0,0,0,0,0",,265360,to_hand,poldrack-single-stim,s061
208,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",82,3.0,1.0,"89,71,82",19.0,,921,"1,2,3,0,0,0,0,0,0",,266284,to_board,poldrack-single-stim,s061
209,PA_without_intermediate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,2.0,"89,82",19.0,,1353,"1,2,3,0,0,0,0,0,0",,267651,to_hand,poldrack-single-stim,s061
210,PA_without_intermediate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",71,3.0,2.0,"89,71,82",19.0,,346,"1,2,3,0,0,0,0,0,0",,267999,to_board,poldrack-single-stim,s061
211,PA_without_intermediate,,"0,0,0,2,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,3.0,"89,71,82",19.0,,408,"1,2,3,0,0,0,0,0,0",,268423,to_hand,poldrack-single-stim,s061
212,PA_without_intermediate,,"0,0,0,2,0,0,3,1,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",82,3.0,3.0,"89,71,82",19.0,,333,"1,2,3,0,0,0,0,0,0",,268758,to_board,poldrack-single-stim,s061
213,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10633.0,-1,,,273904,feedback,poldrack-single-stim,s061
214,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,1.0,89,20.0,,2493,"1,2,3,0,0,0,0,0,0",,276412,to_hand,poldrack-single-stim,s061
215,PA_without_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",71,3.0,1.0,"89,71,82",20.0,,790,"1,2,3,0,0,0,0,0,0",,277204,to_board,poldrack-single-stim,s061
216,PA_without_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,2.0,"89,71",20.0,,675,"1,2,3,0,0,0,0,0,0",,277893,to_hand,poldrack-single-stim,s061
217,PA_without_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",82,3.0,2.0,"89,71,82",20.0,,692,"1,2,3,0,0,0,0,0,0",,278587,to_board,poldrack-single-stim,s061
218,PA_without_intermediate,,"0,0,0,3,0,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,3.0,"89,71,82",20.0,,354,"1,2,3,0,0,0,0,0,0",,278959,to_hand,poldrack-single-stim,s061
219,PA_without_intermediate,,"0,0,0,3,1,0,2,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",71,3.0,3.0,"89,71,82",20.0,,292,"1,2,3,0,0,0,0,0,0",,279252,to_board,poldrack-single-stim,s061
220,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,7499.0,-1,,,281403,feedback,poldrack-single-stim,s061
221,PA_without_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"3,2,0,1,0,0,0,0,0",82,3.0,1.0,82,21.0,,2113,"0,0,0,0,0,0,1,2,3",,283530,to_hand,poldrack-single-stim,s061
222,PA_without_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"3,2,0,1,0,0,0,0,0",89,3.0,1.0,"89,71,82",21.0,,406,"0,0,0,0,0,0,1,2,3",,283938,to_board,poldrack-single-stim,s061
