,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
45,658.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,11.0,"89,71,82",0.0,,658,"1,0,0,2,3,0,0,0,0",658.0,,39265,to_board,poldrack-single-stim,s548
46,587.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,12.0,"89,82",0.0,,587,"1,0,0,2,3,0,0,0,0",587.0,,39856,to_hand,poldrack-single-stim,s548
47,420.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,12.0,"89,71,82",0.0,,420,"1,0,0,2,3,0,0,0,0",420.0,,40277,to_board,poldrack-single-stim,s548
48,2500.0,,True,,practice,ward_and_allport,,-1,3.0,12.0,none,,40276.0,-1,,1000.0,,42780,feedback,poldrack-single-stim,s548
49,3762.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,1.0,"89,71",1.0,,3762,"1,2,0,3,0,0,0,0,0",3762.0,,46544,to_hand,poldrack-single-stim,s548
50,1793.0,UA_with_intermeidate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,1.0,"89,71,82",1.0,,1793,"1,2,0,3,0,0,0,0,0",1793.0,,48338,to_board,poldrack-single-stim,s548
51,1055.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71",1.0,,1055,"1,2,0,3,0,0,0,0,0",1055.0,,49394,to_hand,poldrack-single-stim,s548
52,1428.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",1.0,,1428,"1,2,0,3,0,0,0,0,0",1428.0,,50824,to_board,poldrack-single-stim,s548
53,2510.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",1.0,,2510,"1,2,0,3,0,0,0,0,0",2510.0,,53335,to_hand,poldrack-single-stim,s548
54,704.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,704,"1,2,0,3,0,0,0,0,0",704.0,,54040,to_board,poldrack-single-stim,s548
55,1270.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,4.0,"89,82",1.0,,1270,"1,2,0,3,0,0,0,0,0",1270.0,,55311,to_hand,poldrack-single-stim,s548
56,312.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,4.0,"89,71,82",1.0,,312,"1,2,0,3,0,0,0,0,0",312.0,,55625,to_board,poldrack-single-stim,s548
57,2100.0,,True,,practice,ward_and_allport,,-1,3.0,4.0,none,,14948.0,-1,,1000.0,,57728,feedback,poldrack-single-stim,s548
58,3612.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",2.0,,3612,"0,0,0,1,2,0,3,0,0",3612.0,,61342,to_hand,poldrack-single-stim,s548
59,382.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",2.0,,382,"0,0,0,1,2,0,3,0,0",382.0,,61725,to_board,poldrack-single-stim,s548
60,792.0,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"71,82",2.0,,792,"0,0,0,1,2,0,3,0,0",792.0,,62519,to_hand,poldrack-single-stim,s548
61,329.0,UA_without_intermeidate,,"1,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,329,"0,0,0,1,2,0,3,0,0",329.0,,62849,to_board,poldrack-single-stim,s548
62,3307.0,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,3.0,"89,82",2.0,,3307,"0,0,0,1,2,0,3,0,0",3307.0,,66159,to_hand,poldrack-single-stim,s548
63,1328.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",2.0,,1328,"0,0,0,1,2,0,3,0,0",1328.0,,67488,to_board,poldrack-single-stim,s548
64,2196.0,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,4.0,"71,82",2.0,,2196,"0,0,0,1,2,0,3,0,0",2196.0,,69688,to_hand,poldrack-single-stim,s548
65,1740.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,4.0,"89,71,82",2.0,,1740,"0,0,0,1,2,0,3,0,0",1740.0,,71428,to_board,poldrack-single-stim,s548
66,837.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,5.0,"71,82",2.0,,837,"0,0,0,1,2,0,3,0,0",837.0,,72268,to_hand,poldrack-single-stim,s548
67,619.0,UA_without_intermeidate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,5.0,"89,71,82",2.0,,619,"0,0,0,1,2,0,3,0,0",619.0,,72887,to_board,poldrack-single-stim,s548
68,1145.0,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,6.0,"71,82",2.0,,1145,"0,0,0,1,2,0,3,0,0",1145.0,,74035,to_hand,poldrack-single-stim,s548
69,359.0,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,6.0,"89,71,82",2.0,,359,"0,0,0,1,2,0,3,0,0",359.0,,74395,to_board,poldrack-single-stim,s548
70,2550.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,7.0,"89,71",2.0,,2550,"0,0,0,1,2,0,3,0,0",2550.0,,76948,to_hand,poldrack-single-stim,s548
71,588.0,UA_without_intermeidate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,7.0,"89,71,82",2.0,,588,"0,0,0,1,2,0,3,0,0",588.0,,77537,to_board,poldrack-single-stim,s548
72,509.0,UA_without_intermeidate,,"3,0,0,0,0,0,2,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,8.0,"89,71,82",2.0,,509,"0,0,0,1,2,0,3,0,0",509.0,,78048,to_hand,poldrack-single-stim,s548
73,356.0,UA_without_intermeidate,,"3,1,0,0,0,0,2,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,8.0,"89,71,82",2.0,,356,"0,0,0,1,2,0,3,0,0",356.0,,78405,to_board,poldrack-single-stim,s548
