,correct,correct_response,cue,exp_stage,experiment_exp_id,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
172,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",482,,102153,stim,37.0,poldrack-single-stim,s471
175,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",682,,104763,stim,38.0,poldrack-single-stim,s471
178,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",532,,107373,stim,39.0,poldrack-single-stim,s471
181,1.0,89.0,double,test,attention_network_task,down,left,incongruent,89,"89,71",528,,109982,stim,40.0,poldrack-single-stim,s471
184,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",490,,112591,stim,41.0,poldrack-single-stim,s471
187,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",565,,115201,stim,42.0,poldrack-single-stim,s471
190,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",478,,117810,stim,43.0,poldrack-single-stim,s471
193,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",430,,120420,stim,44.0,poldrack-single-stim,s471
196,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",676,,123029,stim,45.0,poldrack-single-stim,s471
199,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",566,,125638,stim,46.0,poldrack-single-stim,s471
202,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",497,,128246,stim,47.0,poldrack-single-stim,s471
205,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",412,,130855,stim,48.0,poldrack-single-stim,s471
208,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",569,,133463,stim,49.0,poldrack-single-stim,s471
211,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",391,,136072,stim,50.0,poldrack-single-stim,s471
214,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",444,,138682,stim,51.0,poldrack-single-stim,s471
217,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",452,,141291,stim,52.0,poldrack-single-stim,s471
220,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",552,,143901,stim,53.0,poldrack-single-stim,s471
223,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",508,,146510,stim,54.0,poldrack-single-stim,s471
226,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",458,,149119,stim,55.0,poldrack-single-stim,s471
229,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",486,,151727,stim,56.0,poldrack-single-stim,s471
232,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",436,,154336,stim,57.0,poldrack-single-stim,s471
235,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",444,,156945,stim,58.0,poldrack-single-stim,s471
238,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",668,,159553,stim,59.0,poldrack-single-stim,s471
241,1.0,89.0,double,test,attention_network_task,down,left,incongruent,89,"89,71",688,,162164,stim,60.0,poldrack-single-stim,s471
244,1.0,89.0,double,test,attention_network_task,down,left,incongruent,89,"89,71",538,,164773,stim,61.0,poldrack-single-stim,s471
247,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",374,,167381,stim,62.0,poldrack-single-stim,s471
250,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",455,,169990,stim,63.0,poldrack-single-stim,s471
