,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
49,UA_without_intermeidate,,"2,3,0,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",3.0,,526,"0,0,0,1,2,0,3,0,0",,33038,to_hand,poldrack-single-stim,s445
50,UA_without_intermeidate,,"2,3,1,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",3.0,,256,"0,0,0,1,2,0,3,0,0",,33295,to_board,poldrack-single-stim,s445
51,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,6266.0,-1,,,35299,feedback,poldrack-single-stim,s445
52,,,,,ward_and_allport,,-1,,,none,,,-1,,,36802,test_start_block,poldrack-single-stim,s445
53,PA_without_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"3,1,0,2,0,0,0,0,0",82,3.0,1.0,82,0.0,,3313,"0,0,0,0,0,0,1,2,3",,40619,to_hand,poldrack-single-stim,s445
54,PA_without_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"3,1,0,2,0,0,0,0,0",89,3.0,1.0,"89,71,82",0.0,,576,"0,0,0,0,0,0,1,2,3",,41195,to_board,poldrack-single-stim,s445
55,PA_without_intermediate,,"3,0,0,0,0,0,1,0,0",practice,ward_and_allport,"3,1,0,2,0,0,0,0,0",82,3.0,2.0,"89,82",0.0,,2126,"0,0,0,0,0,0,1,2,3",,43324,to_hand,poldrack-single-stim,s445
56,PA_without_intermediate,,"3,0,0,2,0,0,1,0,0",practice,ward_and_allport,"3,1,0,2,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,409,"0,0,0,0,0,0,1,2,3",,43734,to_board,poldrack-single-stim,s445
57,PA_without_intermediate,,"3,0,0,2,0,0,0,0,0",practice,ward_and_allport,"3,1,0,2,0,0,0,0,0",82,3.0,3.0,"89,71,82",0.0,,579,"0,0,0,0,0,0,1,2,3",,44316,to_hand,poldrack-single-stim,s445
58,PA_without_intermediate,,"3,1,0,2,0,0,0,0,0",practice,ward_and_allport,"3,1,0,2,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,244,"0,0,0,0,0,0,1,2,3",,44562,to_board,poldrack-single-stim,s445
59,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10850.0,-1,,,47653,feedback,poldrack-single-stim,s445
60,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,1.0,71,1.0,,3078,"0,0,0,1,2,3,0,0,0",,50733,to_hand,poldrack-single-stim,s445
61,PA_with_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",89,3.0,1.0,"89,71,82",1.0,,589,"0,0,0,1,2,3,0,0,0",,51323,to_board,poldrack-single-stim,s445
62,PA_with_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,2.0,"89,71",1.0,,406,"0,0,0,1,2,3,0,0,0",,51731,to_hand,poldrack-single-stim,s445
63,PA_with_intermediate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",82,3.0,2.0,"89,71,82",1.0,,316,"0,0,0,1,2,3,0,0,0",,52048,to_board,poldrack-single-stim,s445
64,PA_with_intermediate,,"3,0,0,0,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,3.0,"89,71,82",1.0,,388,"0,0,0,1,2,3,0,0,0",,52438,to_hand,poldrack-single-stim,s445
65,PA_with_intermediate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,3.0,"89,71,82",1.0,,665,"0,0,0,1,2,3,0,0,0",,53104,to_board,poldrack-single-stim,s445
66,PA_with_intermediate,,"0,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",89,3.0,4.0,"89,71,82",1.0,,349,"0,0,0,1,2,3,0,0,0",,53456,to_hand,poldrack-single-stim,s445
67,PA_with_intermediate,,"0,0,0,1,3,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,4.0,"89,71,82",1.0,,580,"0,0,0,1,2,3,0,0,0",,54036,to_board,poldrack-single-stim,s445
68,,True,,test,ward_and_allport,,-1,3.0,4.0,none,,8387.0,-1,,,56040,feedback,poldrack-single-stim,s445
69,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,1.0,89,2.0,,2919,"1,2,3,0,0,0,0,0,0",,58962,to_hand,poldrack-single-stim,s445
70,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",82,3.0,1.0,"89,71,82",2.0,,572,"1,2,3,0,0,0,0,0,0",,59534,to_board,poldrack-single-stim,s445
71,PA_without_intermediate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,2.0,"89,82",2.0,,1700,"1,2,3,0,0,0,0,0,0",,61236,to_hand,poldrack-single-stim,s445
