,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,100.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",541.0,orange,7.0,color,switch,,-102669,stim,0.0,poldrack-categorize,s172
13,100.0,False,71.0,High-Low,,practice,twobytwo,89.0,"89,71",800.0,orange,9.0,magnitude,switch,,-99056,stim,1.0,poldrack-categorize,s172
18,900.0,True,89.0,Orange-Blue,,practice,twobytwo,89.0,"89,71",389.0,#1F45FC,4.0,color,switch,,-94646,stim,2.0,poldrack-categorize,s172
23,900.0,True,71.0,Color,switch,practice,twobytwo,71.0,"89,71",573.0,orange,2.0,color,stay,,-90236,stim,3.0,poldrack-categorize,s172
28,100.0,True,71.0,Orange-Blue,switch,practice,twobytwo,71.0,"89,71",689.0,orange,3.0,color,stay,,-86628,stim,4.0,poldrack-categorize,s172
33,100.0,True,71.0,Orange-Blue,stay,practice,twobytwo,71.0,"89,71",604.0,orange,2.0,color,stay,,-83017,stim,5.0,poldrack-categorize,s172
38,900.0,True,89.0,Magnitude,,practice,twobytwo,89.0,"89,71",524.0,#1F45FC,4.0,magnitude,switch,,-78607,stim,6.0,poldrack-categorize,s172
43,100.0,True,89.0,Magnitude,stay,practice,twobytwo,89.0,"89,71",521.0,#1F45FC,2.0,magnitude,stay,,-74997,stim,7.0,poldrack-categorize,s172
48,900.0,True,71.0,High-Low,switch,practice,twobytwo,71.0,"89,71",427.0,orange,8.0,magnitude,stay,,-70584,stim,8.0,poldrack-categorize,s172
53,900.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",486.0,orange,7.0,color,switch,,-66175,stim,9.0,poldrack-categorize,s172
58,100.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",692.0,#1F45FC,8.0,magnitude,switch,,-62564,stim,10.0,poldrack-categorize,s172
63,100.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",527.0,orange,1.0,color,switch,,-58953,stim,11.0,poldrack-categorize,s172
68,900.0,False,71.0,Color,stay,practice,twobytwo,89.0,"89,71",408.0,orange,7.0,color,stay,,-54542,stim,12.0,poldrack-categorize,s172
73,900.0,True,89.0,Color,stay,practice,twobytwo,89.0,"89,71",484.0,#1F45FC,7.0,color,stay,,-50131,stim,13.0,poldrack-categorize,s172
78,100.0,True,89.0,Orange-Blue,switch,practice,twobytwo,89.0,"89,71",654.0,#1F45FC,7.0,color,stay,,-46521,stim,14.0,poldrack-categorize,s172
83,900.0,True,89.0,High-Low,,practice,twobytwo,89.0,"89,71",496.0,#1F45FC,2.0,magnitude,switch,,-42109,stim,15.0,poldrack-categorize,s172
107,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",865.0,orange,7.0,magnitude,switch,,5751,stim,0.0,poldrack-single-stim,s172
110,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",475.0,orange,9.0,magnitude,stay,,9335,stim,1.0,poldrack-single-stim,s172
113,900.0,True,89.0,Magnitude,switch,test,twobytwo,89.0,"89,71",527.0,#1F45FC,4.0,magnitude,stay,,12784,stim,2.0,poldrack-single-stim,s172
116,900.0,True,89.0,High-Low,switch,test,twobytwo,89.0,"89,71",424.0,orange,2.0,magnitude,stay,,15961,stim,3.0,poldrack-single-stim,s172
119,100.0,True,89.0,Magnitude,switch,test,twobytwo,89.0,"89,71",632.0,orange,3.0,magnitude,stay,,18338,stim,4.0,poldrack-single-stim,s172
122,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",653.0,orange,2.0,color,switch,,20850,stim,5.0,poldrack-single-stim,s172
125,100.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",551.0,#1F45FC,4.0,color,stay,,23090,stim,6.0,poldrack-single-stim,s172
128,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",609.0,#1F45FC,2.0,magnitude,switch,,25466,stim,7.0,poldrack-single-stim,s172
131,900.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",363.0,orange,8.0,magnitude,stay,,28370,stim,8.0,poldrack-single-stim,s172
134,100.0,True,71.0,High-Low,switch,test,twobytwo,71.0,"89,71",593.0,orange,7.0,magnitude,stay,,30612,stim,9.0,poldrack-single-stim,s172
137,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",489.0,#1F45FC,8.0,magnitude,stay,,33789,stim,10.0,poldrack-single-stim,s172
140,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",860.0,orange,1.0,color,switch,,35892,stim,11.0,poldrack-single-stim,s172
143,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",829.0,orange,7.0,magnitude,switch,,38678,stim,12.0,poldrack-single-stim,s172
146,900.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",555.0,#1F45FC,7.0,magnitude,stay,,41583,stim,13.0,poldrack-single-stim,s172
149,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",456.0,#1F45FC,7.0,color,switch,,44487,stim,14.0,poldrack-single-stim,s172
152,900.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",470.0,#1F45FC,2.0,color,stay,,47391,stim,15.0,poldrack-single-stim,s172
155,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",505.0,#1F45FC,1.0,magnitude,switch,,50568,stim,16.0,poldrack-single-stim,s172
158,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",496.0,orange,9.0,color,switch,,53472,stim,17.0,poldrack-single-stim,s172
161,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",621.0,orange,3.0,magnitude,switch,,55576,stim,18.0,poldrack-single-stim,s172
164,100.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",687.0,#1F45FC,8.0,color,switch,,57683,stim,19.0,poldrack-single-stim,s172
167,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",384.0,#1F45FC,2.0,color,stay,,61267,stim,20.0,poldrack-single-stim,s172
170,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",555.0,orange,7.0,color,stay,,64170,stim,21.0,poldrack-single-stim,s172
173,100.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",646.0,orange,9.0,magnitude,switch,,66411,stim,22.0,poldrack-single-stim,s172
176,900.0,True,89.0,High-Low,switch,test,twobytwo,89.0,"89,71",486.0,#1F45FC,2.0,magnitude,stay,,69724,stim,23.0,poldrack-single-stim,s172
179,100.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",582.0,#1F45FC,3.0,magnitude,stay,,71966,stim,24.0,poldrack-single-stim,s172
182,900.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",457.0,#1F45FC,2.0,magnitude,stay,,74870,stim,25.0,poldrack-single-stim,s172
185,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",388.0,orange,2.0,color,switch,,77774,stim,26.0,poldrack-single-stim,s172
188,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",405.0,#1F45FC,8.0,magnitude,switch,,81222,stim,27.0,poldrack-single-stim,s172
191,100.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",713.0,orange,6.0,magnitude,stay,,83462,stim,28.0,poldrack-single-stim,s172
194,100.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",687.0,#1F45FC,6.0,magnitude,stay,,86111,stim,29.0,poldrack-single-stim,s172
197,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",438.0,orange,6.0,color,switch,,89694,stim,30.0,poldrack-single-stim,s172
200,100.0,True,89.0,Color,switch,test,twobytwo,89.0,"89,71",641.0,#1F45FC,8.0,color,stay,,91798,stim,31.0,poldrack-single-stim,s172
203,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",559.0,orange,9.0,magnitude,switch,,94975,stim,32.0,poldrack-single-stim,s172
206,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",611.0,#1F45FC,3.0,color,switch,,98166,stim,33.0,poldrack-single-stim,s172
209,100.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",621.0,#1F45FC,9.0,magnitude,switch,,100271,stim,34.0,poldrack-single-stim,s172
212,100.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",580.0,#1F45FC,1.0,magnitude,stay,,102511,stim,35.0,poldrack-single-stim,s172
215,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",511.0,orange,4.0,color,switch,,104751,stim,36.0,poldrack-single-stim,s172
218,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",375.0,orange,4.0,color,stay,,107655,stim,37.0,poldrack-single-stim,s172
221,900.0,True,71.0,Orange-Blue,switch,test,twobytwo,71.0,"89,71",523.0,orange,7.0,color,stay,,110831,stim,38.0,poldrack-single-stim,s172
224,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",698.0,#1F45FC,4.0,magnitude,switch,,112935,stim,39.0,poldrack-single-stim,s172
227,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",431.0,#1F45FC,4.0,color,switch,,115974,stim,40.0,poldrack-single-stim,s172
230,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",779.0,#1F45FC,6.0,magnitude,switch,,118214,stim,41.0,poldrack-single-stim,s172
233,900.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",460.0,#1F45FC,2.0,magnitude,stay,,121663,stim,42.0,poldrack-single-stim,s172
236,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",449.0,orange,3.0,color,switch,,124567,stim,43.0,poldrack-single-stim,s172
239,900.0,True,71.0,Orange-Blue,stay,test,twobytwo,71.0,"89,71",445.0,orange,8.0,color,stay,,127607,stim,44.0,poldrack-single-stim,s172
242,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",466.0,orange,6.0,magnitude,switch,,130647,stim,45.0,poldrack-single-stim,s172
245,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",453.0,#1F45FC,9.0,color,switch,,133688,stim,46.0,poldrack-single-stim,s172
248,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",576.0,#1F45FC,8.0,magnitude,switch,,136592,stim,47.0,poldrack-single-stim,s172
251,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",654.0,#1F45FC,1.0,color,switch,,138831,stim,48.0,poldrack-single-stim,s172
254,900.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",425.0,#1F45FC,3.0,color,stay,,141736,stim,49.0,poldrack-single-stim,s172
257,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",649.0,orange,2.0,color,stay,,143978,stim,50.0,poldrack-single-stim,s172
260,900.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",415.0,#1F45FC,2.0,magnitude,switch,,147699,stim,51.0,poldrack-single-stim,s172
263,900.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",476.0,orange,6.0,magnitude,stay,,150740,stim,52.0,poldrack-single-stim,s172
266,900.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",536.0,orange,6.0,magnitude,stay,,153643,stim,53.0,poldrack-single-stim,s172
269,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",552.0,orange,6.0,color,switch,,155747,stim,54.0,poldrack-single-stim,s172
272,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",408.0,#1F45FC,6.0,color,stay,,158924,stim,55.0,poldrack-single-stim,s172
275,100.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",699.0,#1F45FC,7.0,magnitude,switch,,161027,stim,56.0,poldrack-single-stim,s172
278,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",525.0,orange,1.0,color,switch,,163932,stim,57.0,poldrack-single-stim,s172
