,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",768,1700.0,,-133399,stim,,poldrack-categorize,s495
9,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",682,1700.0,,-129685,stim,,poldrack-categorize,s495
12,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",652,1700.0,,-125971,stim,,poldrack-categorize,s495
15,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",764,1700.0,,-122259,stim,,poldrack-categorize,s495
18,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",702,1700.0,,-118542,stim,,poldrack-categorize,s495
21,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,congruent,89,"89,71",778,1700.0,,-114831,stim,,poldrack-categorize,s495
24,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",718,1700.0,,-111116,stim,,poldrack-categorize,s495
27,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",580,1700.0,,-107401,stim,,poldrack-categorize,s495
30,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",724,1700.0,,-103692,stim,,poldrack-categorize,s495
33,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",818,1700.0,,-99983,stim,,poldrack-categorize,s495
36,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",650,1700.0,,-96271,stim,,poldrack-categorize,s495
39,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",677,1700.0,,-92559,stim,,poldrack-categorize,s495
61,2100.0,0.0,89.0,spatial,test,attention_network_task,,down,left,congruent,71,"89,71",832,1700.0,,5621,stim,0.0,poldrack-single-stim,s495
64,2100.272,0.0,89.0,double,test,attention_network_task,,down,left,incongruent,71,"89,71",622,1700.0,,8231,stim,1.0,poldrack-single-stim,s495
67,2100.0,0.0,71.0,spatial,test,attention_network_task,,up,right,congruent,89,"89,71",730,1700.0,,10840,stim,2.0,poldrack-single-stim,s495
70,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",926,1700.0,,13447,stim,3.0,poldrack-single-stim,s495
73,2100.408,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",716,1700.0,,16054,stim,4.0,poldrack-single-stim,s495
76,2100.544,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",489,1700.0,,18662,stim,5.0,poldrack-single-stim,s495
79,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",626,1700.0,,21271,stim,6.0,poldrack-single-stim,s495
82,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",607,1700.0,,23882,stim,7.0,poldrack-single-stim,s495
85,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",579,1700.0,,26491,stim,8.0,poldrack-single-stim,s495
88,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",592,1700.0,,29105,stim,9.0,poldrack-single-stim,s495
91,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",680,1700.0,,31716,stim,10.0,poldrack-single-stim,s495
94,2100.272,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",684,1700.0,,34324,stim,11.0,poldrack-single-stim,s495
97,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",530,1700.0,,36933,stim,12.0,poldrack-single-stim,s495
100,2100.408,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",635,1700.0,,39545,stim,13.0,poldrack-single-stim,s495
103,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",612,1700.0,,42152,stim,14.0,poldrack-single-stim,s495
106,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",628,1700.0,,44760,stim,15.0,poldrack-single-stim,s495
109,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",591,1700.0,,47370,stim,16.0,poldrack-single-stim,s495
112,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",654,1700.0,,49981,stim,17.0,poldrack-single-stim,s495
115,2100.952,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",542,1700.0,,52591,stim,18.0,poldrack-single-stim,s495
118,2100.272,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",621,1700.0,,55201,stim,19.0,poldrack-single-stim,s495
121,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",586,1700.0,,57824,stim,20.0,poldrack-single-stim,s495
124,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",597,1700.0,,60436,stim,21.0,poldrack-single-stim,s495
127,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",538,1700.0,,63045,stim,22.0,poldrack-single-stim,s495
