,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
791,100.0,2408.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",1076.0,#1F45FC,1000.0,8.0,magnitude,stay,,649505,stim,66.0,poldrack-single-stim,s373
794,100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",739.0,orange,1000.0,4.0,color,switch,,651612,stim,67.0,poldrack-single-stim,s373
797,100.0,2000.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",732.0,#1F45FC,1000.0,1.0,color,stay,,653719,stim,68.0,poldrack-single-stim,s373
800,900.0,2000.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",516.0,#1F45FC,1000.0,1.0,color,stay,,656625,stim,69.0,poldrack-single-stim,s373
803,900.0,2272.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",540.0,#1F45FC,1000.0,4.0,color,stay,,659804,stim,70.0,poldrack-single-stim,s373
806,100.0,2136.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",836.0,orange,1000.0,9.0,magnitude,switch,,662044,stim,71.0,poldrack-single-stim,s373
809,100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",910.0,orange,1000.0,4.0,color,switch,,664151,stim,72.0,poldrack-single-stim,s373
812,900.0,2544.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",491.0,#1F45FC,1000.0,9.0,color,stay,,667602,stim,73.0,poldrack-single-stim,s373
815,100.0,2272.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",965.0,#1F45FC,1000.0,9.0,magnitude,switch,,669981,stim,74.0,poldrack-single-stim,s373
818,900.0,2272.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",511.0,orange,1000.0,3.0,magnitude,stay,,673160,stim,75.0,poldrack-single-stim,s373
821,900.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",538.0,#1F45FC,1000.0,3.0,color,switch,,676066,stim,76.0,poldrack-single-stim,s373
824,100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",830.0,#1F45FC,1000.0,3.0,magnitude,switch,,678173,stim,77.0,poldrack-single-stim,s373
827,100.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",1083.0,orange,1000.0,4.0,color,switch,,680413,stim,78.0,poldrack-single-stim,s373
830,900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",511.0,#1F45FC,1000.0,7.0,magnitude,switch,,683320,stim,79.0,poldrack-single-stim,s373
