,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
7,2100.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",471,500.0,,-87261,probe,0.0,poldrack-single-stim,s172
11,2500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",359,500.0,,-81751,probe,1.0,poldrack-single-stim,s172
15,1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",576,500.0,,-77241,probe,2.0,poldrack-single-stim,s172
19,1900.0,AX,0.0,89.0,practice,dot_pattern_expectancy,71.0,"89,71",576,500.0,,-72334,probe,3.0,poldrack-single-stim,s172
23,1700.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",707,500.0,,-67627,probe,4.0,poldrack-single-stim,s172
27,1500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",753,500.0,,-63118,probe,5.0,poldrack-single-stim,s172
31,2300.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",431,500.0,,-57811,probe,6.0,poldrack-single-stim,s172
35,1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",260,500.0,,-53304,probe,7.0,poldrack-single-stim,s172
39,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",430,500.0,,-48797,probe,8.0,poldrack-single-stim,s172
43,1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",262,500.0,,-44291,probe,9.0,poldrack-single-stim,s172
66,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",395,500.0,,7692,probe,0.0,poldrack-single-stim,s172
69,2316.0,AY,0.0,71.0,test,dot_pattern_expectancy,89.0,"89,71",465,500.0,,12514,probe,1.0,poldrack-single-stim,s172
72,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1064,500.0,,16657,probe,2.0,poldrack-single-stim,s172
75,1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",344,500.0,,21071,probe,3.0,poldrack-single-stim,s172
78,3540.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",338,500.0,,27117,probe,4.0,poldrack-single-stim,s172
