,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",1206,1700.0,,-79767,stim,,poldrack-categorize,s553
9,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",1034,1700.0,,-76053,stim,,poldrack-categorize,s553
12,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",834,1700.0,,-72338,stim,,poldrack-categorize,s553
15,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",605,1700.0,,-68623,stim,,poldrack-categorize,s553
18,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",920,1700.0,,-64909,stim,,poldrack-categorize,s553
21,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",979,1700.0,,-61191,stim,,poldrack-categorize,s553
24,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",938,1700.0,,-57476,stim,,poldrack-categorize,s553
27,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",767,1700.0,,-53761,stim,,poldrack-categorize,s553
30,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",717,1700.0,,-50049,stim,,poldrack-categorize,s553
33,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",665,1700.0,,-46334,stim,,poldrack-categorize,s553
36,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",875,1700.0,,-42620,stim,,poldrack-categorize,s553
39,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",699,1700.0,,-38902,stim,,poldrack-categorize,s553
61,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",1010,1700.0,,5625,stim,0.0,poldrack-single-stim,s553
64,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",803,1700.0,,8233,stim,1.0,poldrack-single-stim,s553
67,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",711,1700.0,,10846,stim,2.0,poldrack-single-stim,s553
70,2100.272,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",966,1700.0,,13459,stim,3.0,poldrack-single-stim,s553
73,2100.408,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",801,1700.0,,16068,stim,4.0,poldrack-single-stim,s553
76,2100.0,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",1252,1700.0,,18682,stim,5.0,poldrack-single-stim,s553
79,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",759,1700.0,,21289,stim,6.0,poldrack-single-stim,s553
82,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",956,1700.0,,23897,stim,7.0,poldrack-single-stim,s553
85,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",1204,1700.0,,26511,stim,8.0,poldrack-single-stim,s553
88,2100.408,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",718,1700.0,,29123,stim,9.0,poldrack-single-stim,s553
91,2100.544,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",620,1700.0,,31738,stim,10.0,poldrack-single-stim,s553
94,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",988,1700.0,,34351,stim,11.0,poldrack-single-stim,s553
97,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",935,1700.0,,36959,stim,12.0,poldrack-single-stim,s553
100,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",999,1700.0,,39572,stim,13.0,poldrack-single-stim,s553
103,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",1097,1700.0,,42183,stim,14.0,poldrack-single-stim,s553
106,2100.136,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",910,1700.0,,44794,stim,15.0,poldrack-single-stim,s553
109,2100.0,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",718,1700.0,,47408,stim,16.0,poldrack-single-stim,s553
112,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",716,1700.0,,50020,stim,17.0,poldrack-single-stim,s553
115,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",704,1700.0,,52634,stim,18.0,poldrack-single-stim,s553
118,2100.408,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",663,1700.0,,55242,stim,19.0,poldrack-single-stim,s553
121,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",761,1700.0,,57850,stim,20.0,poldrack-single-stim,s553
124,2100.8160000000003,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",658,1700.0,,60459,stim,21.0,poldrack-single-stim,s553
127,2100.68,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",892,1700.0,,63067,stim,22.0,poldrack-single-stim,s553
130,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",697,1700.0,,65675,stim,23.0,poldrack-single-stim,s553
