,correct,correct_response,cue,exp_stage,experiment_exp_id,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1.0,71.0,spatial,practice,attention_network_task,up,right,congruent,71,"89,71",991,,-200488,stim,,poldrack-categorize,s499
9,1.0,71.0,spatial,practice,attention_network_task,down,right,congruent,71,"89,71",580,,-196775,stim,,poldrack-categorize,s499
12,1.0,89.0,spatial,practice,attention_network_task,up,left,incongruent,89,"89,71",658,,-193061,stim,,poldrack-categorize,s499
15,1.0,89.0,spatial,practice,attention_network_task,down,left,congruent,89,"89,71",597,,-189348,stim,,poldrack-categorize,s499
18,1.0,89.0,double,practice,attention_network_task,down,left,incongruent,89,"89,71",871,,-185637,stim,,poldrack-categorize,s499
21,1.0,89.0,spatial,practice,attention_network_task,up,left,congruent,89,"89,71",617,,-181926,stim,,poldrack-categorize,s499
24,1.0,71.0,spatial,practice,attention_network_task,up,right,incongruent,71,"89,71",590,,-178213,stim,,poldrack-categorize,s499
27,1.0,89.0,spatial,practice,attention_network_task,down,left,incongruent,89,"89,71",626,,-174501,stim,,poldrack-categorize,s499
30,1.0,89.0,double,practice,attention_network_task,down,left,congruent,89,"89,71",599,,-170790,stim,,poldrack-categorize,s499
33,1.0,89.0,double,practice,attention_network_task,up,left,congruent,89,"89,71",568,,-167077,stim,,poldrack-categorize,s499
36,1.0,71.0,double,practice,attention_network_task,up,right,congruent,71,"89,71",582,,-163364,stim,,poldrack-categorize,s499
39,1.0,89.0,double,practice,attention_network_task,up,left,incongruent,89,"89,71",579,,-159655,stim,,poldrack-categorize,s499
61,0.0,71.0,spatial,test,attention_network_task,up,right,congruent,-1,"89,71",-1,,5616,stim,0.0,poldrack-single-stim,s499
64,0.0,89.0,double,test,attention_network_task,down,left,incongruent,-1,"89,71",-1,,8228,stim,1.0,poldrack-single-stim,s499
67,0.0,71.0,spatial,test,attention_network_task,up,right,congruent,-1,"89,71",-1,,10836,stim,2.0,poldrack-single-stim,s499
70,0.0,89.0,spatial,test,attention_network_task,down,left,congruent,-1,"89,71",-1,,13450,stim,3.0,poldrack-single-stim,s499
73,0.0,71.0,double,test,attention_network_task,down,right,incongruent,-1,"89,71",-1,,16058,stim,4.0,poldrack-single-stim,s499
76,0.0,71.0,double,test,attention_network_task,down,right,congruent,-1,"89,71",-1,,18668,stim,5.0,poldrack-single-stim,s499
79,0.0,71.0,double,test,attention_network_task,up,right,incongruent,-1,"89,71",-1,,21277,stim,6.0,poldrack-single-stim,s499
82,0.0,71.0,spatial,test,attention_network_task,up,right,incongruent,-1,"89,71",-1,,23885,stim,7.0,poldrack-single-stim,s499
85,0.0,71.0,double,test,attention_network_task,down,right,incongruent,-1,"89,71",-1,,26495,stim,8.0,poldrack-single-stim,s499
88,0.0,89.0,spatial,test,attention_network_task,up,left,incongruent,-1,"89,71",-1,,29103,stim,9.0,poldrack-single-stim,s499
91,0.0,89.0,double,test,attention_network_task,down,left,congruent,-1,"89,71",-1,,31714,stim,10.0,poldrack-single-stim,s499
94,0.0,71.0,spatial,test,attention_network_task,down,right,incongruent,-1,"89,71",-1,,34326,stim,11.0,poldrack-single-stim,s499
97,0.0,89.0,spatial,test,attention_network_task,down,left,incongruent,-1,"89,71",-1,,36939,stim,12.0,poldrack-single-stim,s499
100,0.0,71.0,spatial,test,attention_network_task,up,right,incongruent,-1,"89,71",-1,,39550,stim,13.0,poldrack-single-stim,s499
103,0.0,89.0,double,test,attention_network_task,up,left,incongruent,-1,"89,71",-1,,42161,stim,14.0,poldrack-single-stim,s499
106,0.0,89.0,double,test,attention_network_task,up,left,congruent,-1,"89,71",-1,,44770,stim,15.0,poldrack-single-stim,s499
109,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",1575,,47380,stim,16.0,poldrack-single-stim,s499
112,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",667,,49991,stim,17.0,poldrack-single-stim,s499
115,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",503,,52603,stim,18.0,poldrack-single-stim,s499
118,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",545,,55213,stim,19.0,poldrack-single-stim,s499
