,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,True,89.0,Orange-Blue,,practice,twobytwo,89.0,"89,71",523.0,orange,8.0,color,switch,,-112654,stim,0.0,poldrack-categorize,s445
13,100.0,True,89.0,Color,switch,practice,twobytwo,89.0,"89,71",853.0,orange,6.0,color,stay,,-109045,stim,1.0,poldrack-categorize,s445
18,100.0,False,71.0,Magnitude,,practice,twobytwo,89.0,"89,71",645.0,orange,9.0,magnitude,switch,,-105433,stim,2.0,poldrack-categorize,s445
23,900.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",418.0,#1F45FC,9.0,color,switch,,-101023,stim,3.0,poldrack-categorize,s445
28,900.0,True,71.0,Color,stay,practice,twobytwo,71.0,"89,71",424.0,#1F45FC,2.0,color,stay,,-96611,stim,4.0,poldrack-categorize,s445
33,900.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",600.0,orange,8.0,magnitude,switch,,-92202,stim,5.0,poldrack-categorize,s445
38,100.0,True,89.0,Orange-Blue,,practice,twobytwo,89.0,"89,71",711.0,orange,3.0,color,switch,,-88591,stim,6.0,poldrack-categorize,s445
43,900.0,True,71.0,Color,switch,practice,twobytwo,71.0,"89,71",357.0,#1F45FC,7.0,color,stay,,-84179,stim,7.0,poldrack-categorize,s445
48,100.0,True,89.0,Color,stay,practice,twobytwo,89.0,"89,71",671.0,orange,3.0,color,stay,,-80567,stim,8.0,poldrack-categorize,s445
53,900.0,True,71.0,Color,stay,practice,twobytwo,71.0,"89,71",460.0,#1F45FC,9.0,color,stay,,-76158,stim,9.0,poldrack-categorize,s445
58,100.0,True,71.0,Orange-Blue,switch,practice,twobytwo,71.0,"89,71",796.0,#1F45FC,8.0,color,stay,,-72546,stim,10.0,poldrack-categorize,s445
63,100.0,True,89.0,Orange-Blue,stay,practice,twobytwo,89.0,"89,71",678.0,orange,9.0,color,stay,,-68935,stim,11.0,poldrack-categorize,s445
68,900.0,True,89.0,Color,switch,practice,twobytwo,89.0,"89,71",459.0,orange,3.0,color,stay,,-64526,stim,12.0,poldrack-categorize,s445
73,900.0,True,89.0,Magnitude,,practice,twobytwo,89.0,"89,71",855.0,#1F45FC,3.0,magnitude,switch,,-60112,stim,13.0,poldrack-categorize,s445
78,100.0,True,89.0,Color,,practice,twobytwo,89.0,"89,71",778.0,orange,2.0,color,switch,,-56504,stim,14.0,poldrack-categorize,s445
83,100.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",699.0,orange,9.0,magnitude,switch,,-52893,stim,15.0,poldrack-categorize,s445
107,900.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",642.0,orange,8.0,magnitude,stay,,7640,stim,0.0,poldrack-single-stim,s445
110,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",535.0,orange,6.0,color,switch,,10953,stim,1.0,poldrack-single-stim,s445
113,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",602.0,orange,9.0,magnitude,switch,,14674,stim,2.0,poldrack-single-stim,s445
116,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",395.0,#1F45FC,9.0,color,switch,,17987,stim,3.0,poldrack-single-stim,s445
119,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",1077.0,#1F45FC,2.0,magnitude,switch,,20227,stim,4.0,poldrack-single-stim,s445
122,100.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",606.0,orange,8.0,magnitude,stay,,22467,stim,5.0,poldrack-single-stim,s445
125,100.0,True,89.0,High-Low,switch,test,twobytwo,89.0,"89,71",627.0,orange,3.0,magnitude,stay,,24571,stim,6.0,poldrack-single-stim,s445
128,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",529.0,#1F45FC,7.0,magnitude,stay,,26675,stim,7.0,poldrack-single-stim,s445
131,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",676.0,orange,3.0,color,switch,,29052,stim,8.0,poldrack-single-stim,s445
134,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",519.0,#1F45FC,9.0,magnitude,switch,,32366,stim,9.0,poldrack-single-stim,s445
137,100.0,False,71.0,Orange-Blue,,test,twobytwo,89.0,"89,71",646.0,#1F45FC,8.0,color,switch,,34470,stim,10.0,poldrack-single-stim,s445
140,900.0,True,89.0,Color,switch,test,twobytwo,89.0,"89,71",489.0,orange,9.0,color,stay,,37511,stim,11.0,poldrack-single-stim,s445
143,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",547.0,orange,3.0,magnitude,switch,,40416,stim,12.0,poldrack-single-stim,s445
