,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
7,1700.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",605,500.0,,-92332,probe,0.0,poldrack-single-stim,s554
11,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",646,500.0,,-87822,probe,1.0,poldrack-single-stim,s554
15,2300.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",884,500.0,,-82515,probe,2.0,poldrack-single-stim,s554
19,1900.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",748,500.0,,-77605,probe,3.0,poldrack-single-stim,s554
23,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",383,500.0,,-73097,probe,4.0,poldrack-single-stim,s554
27,2100.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",459,500.0,,-67990,probe,5.0,poldrack-single-stim,s554
31,1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",337,500.0,,-63481,probe,6.0,poldrack-single-stim,s554
35,1500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",803,500.0,,-58974,probe,7.0,poldrack-single-stim,s554
39,2500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",676,500.0,,-53467,probe,8.0,poldrack-single-stim,s554
43,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",483,500.0,,-48957,probe,9.0,poldrack-single-stim,s554
66,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",755,500.0,,7148,probe,0.0,poldrack-single-stim,s554
69,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",526,500.0,,11290,probe,1.0,poldrack-single-stim,s554
72,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",637,500.0,,15295,probe,2.0,poldrack-single-stim,s554
75,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",538,500.0,,19301,probe,3.0,poldrack-single-stim,s554
78,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",527,500.0,,23715,probe,4.0,poldrack-single-stim,s554
81,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",394,500.0,,27858,probe,5.0,poldrack-single-stim,s554
84,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",534,500.0,,32409,probe,6.0,poldrack-single-stim,s554
87,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",443,500.0,,36688,probe,7.0,poldrack-single-stim,s554
90,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",398,500.0,,40693,probe,8.0,poldrack-single-stim,s554
93,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",521,500.0,,45380,probe,9.0,poldrack-single-stim,s554
96,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",496,500.0,,49387,probe,10.0,poldrack-single-stim,s554
99,3676.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",453,500.0,,55569,probe,11.0,poldrack-single-stim,s554
102,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",614,500.0,,59710,probe,12.0,poldrack-single-stim,s554
105,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",498,500.0,,63854,probe,13.0,poldrack-single-stim,s554
108,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",599,500.0,,67861,probe,14.0,poldrack-single-stim,s554
111,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",419,500.0,,72276,probe,15.0,poldrack-single-stim,s554
114,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",457,500.0,,76420,probe,16.0,poldrack-single-stim,s554
117,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",547,500.0,,80426,probe,17.0,poldrack-single-stim,s554
120,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",736,500.0,,84839,probe,18.0,poldrack-single-stim,s554
123,2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",611,500.0,,89525,probe,19.0,poldrack-single-stim,s554
