,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
4,13047.0,,,,,ward_and_allport,,32,,,32,,,13047,,13047.0,,-40767,instruction,poldrack-single-stim,s524
23,1500.0,,,,,ward_and_allport,,-1,,,none,,,-1,,1500.0,,2504,practice_start_block,poldrack-single-stim,s524
24,3855.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,3855,"1,0,0,2,3,0,0,0,0",3855.0,,6862,to_hand,poldrack-single-stim,s524
25,419.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",0.0,,419,"1,0,0,2,3,0,0,0,0",419.0,,7283,to_board,poldrack-single-stim,s524
26,679.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,679,"1,0,0,2,3,0,0,0,0",679.0,,7965,to_hand,poldrack-single-stim,s524
27,337.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,337,"1,0,0,2,3,0,0,0,0",337.0,,8304,to_board,poldrack-single-stim,s524
28,706.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,82",0.0,,706,"1,0,0,2,3,0,0,0,0",706.0,,9012,to_hand,poldrack-single-stim,s524
29,357.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,357,"1,0,0,2,3,0,0,0,0",357.0,,9371,to_board,poldrack-single-stim,s524
30,2500.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,9370.0,-1,,1000.0,,11874,feedback,poldrack-single-stim,s524
31,2788.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,2788,"1,2,0,3,0,0,0,0,0",2788.0,,14665,to_hand,poldrack-single-stim,s524
32,307.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,307,"1,2,0,3,0,0,0,0,0",307.0,,14974,to_board,poldrack-single-stim,s524
33,328.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,328,"1,2,0,3,0,0,0,0,0",328.0,,15305,to_hand,poldrack-single-stim,s524
34,310.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,310,"1,2,0,3,0,0,0,0,0",310.0,,15616,to_board,poldrack-single-stim,s524
35,519.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,519,"1,2,0,3,0,0,0,0,0",519.0,,16136,to_hand,poldrack-single-stim,s524
36,219.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,219,"1,2,0,3,0,0,0,0,0",219.0,,16357,to_board,poldrack-single-stim,s524
37,2100.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,6585.0,-1,,1000.0,,18459,feedback,poldrack-single-stim,s524
38,2949.0,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"71,82",2.0,,2949,"0,0,0,1,2,0,3,0,0",2949.0,,21409,to_hand,poldrack-single-stim,s524
39,308.0,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",2.0,,308,"0,0,0,1,2,0,3,0,0",308.0,,21719,to_board,poldrack-single-stim,s524
40,311.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"89,71",2.0,,311,"0,0,0,1,2,0,3,0,0",311.0,,22035,to_hand,poldrack-single-stim,s524
41,316.0,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,316,"0,0,0,1,2,0,3,0,0",316.0,,22351,to_board,poldrack-single-stim,s524
42,334.0,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",2.0,,334,"0,0,0,1,2,0,3,0,0",334.0,,22687,to_hand,poldrack-single-stim,s524
43,326.0,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",2.0,,326,"0,0,0,1,2,0,3,0,0",326.0,,23014,to_board,poldrack-single-stim,s524
44,2200.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,6758.0,-1,,1000.0,,25217,feedback,poldrack-single-stim,s524
45,3156.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",3.0,,3156,"0,0,0,1,2,0,3,0,0",3156.0,,28375,to_hand,poldrack-single-stim,s524
46,299.0,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,299,"0,0,0,1,2,0,3,0,0",299.0,,28674,to_board,poldrack-single-stim,s524
47,320.0,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,320,"0,0,0,1,2,0,3,0,0",320.0,,28996,to_hand,poldrack-single-stim,s524
48,269.0,UA_without_intermeidate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,269,"0,0,0,1,2,0,3,0,0",269.0,,29266,to_board,poldrack-single-stim,s524
