CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2680.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",821.0,#1F45FC,1000.0,6.0,magnitude,stay,,638682,0.0,stim,66.0,poldrack-single-stim,s499
100.0,3088.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",838.0,#1F45FC,1000.0,4.0,magnitude,stay,,641877,0.0,stim,67.0,poldrack-single-stim,s499
900.0,2136.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",1666.0,orange,1000.0,4.0,magnitude,stay,,644921,0.0,stim,68.0,poldrack-single-stim,s499
100.0,2544.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1380.0,orange,1000.0,1.0,color,switch,,647573,0.0,stim,69.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",752.0,orange,1000.0,7.0,magnitude,switch,,650477,0.0,stim,70.0,poldrack-single-stim,s499
100.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",879.0,orange,1000.0,7.0,magnitude,stay,,652718,0.0,stim,71.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",690.0,#1F45FC,1000.0,3.0,magnitude,stay,,654824,0.0,stim,72.0,poldrack-single-stim,s499
100.0,2408.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",672.0,#1F45FC,1000.0,3.0,magnitude,stay,,657339,0.0,stim,73.0,poldrack-single-stim,s499
100.0,2000.0,False,89.0,Color,,test,twobytwo,,71.0,"89,71",732.0,#1F45FC,1000.0,6.0,color,switch,,659445,0.0,stim,74.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",865.0,orange,1000.0,8.0,color,stay,,661552,0.0,stim,75.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",730.0,orange,1000.0,2.0,color,stay,,663661,0.0,stim,76.0,poldrack-single-stim,s499
900.0,2680.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",648.0,orange,1000.0,3.0,magnitude,switch,,667246,0.0,stim,77.0,poldrack-single-stim,s499
900.0,2272.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",709.0,orange,1000.0,3.0,color,switch,,670426,0.0,stim,78.0,poldrack-single-stim,s499
900.0,2408.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",696.0,orange,1000.0,9.0,magnitude,switch,,673741,0.0,stim,79.0,poldrack-single-stim,s499
