,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
69,4568.0,smaller_sooner,,discount_fixed,71,23.0,77.0,"89,71",459,20.0,4000.0,,231970,,poldrack-single-stim,s556
70,4568.0,smaller_sooner,,discount_fixed,71,27.0,130.0,"89,71",602,20.0,4000.0,,236541,,poldrack-single-stim,s556
71,4840.0,smaller_sooner,,discount_fixed,71,23.0,134.0,"89,71",545,20.0,4000.0,,241384,,poldrack-single-stim,s556
72,4500.0,smaller_sooner,,discount_fixed,71,55.0,107.0,"89,71",423,20.0,4000.0,,245885,,poldrack-single-stim,s556
73,5656.0,smaller_sooner,,discount_fixed,71,44.0,143.0,"89,71",384,20.0,4000.0,,251544,,poldrack-single-stim,s556
74,4908.0,smaller_sooner,,discount_fixed,71,23.0,110.0,"89,71",689,20.0,4000.0,,256456,,poldrack-single-stim,s556
75,4636.0,smaller_sooner,,discount_fixed,71,65.0,156.0,"89,71",847,20.0,4000.0,,261096,,poldrack-single-stim,s556
76,4500.0,smaller_sooner,,discount_fixed,71,22.0,27.0,"89,71",1357,20.0,4000.0,,265598,,poldrack-single-stim,s556
77,4500.0,smaller_sooner,,discount_fixed,71,50.0,59.0,"89,71",587,20.0,4000.0,,270099,,poldrack-single-stim,s556
78,5112.0,smaller_sooner,,discount_fixed,71,85.0,129.0,"89,71",676,20.0,4000.0,,275214,,poldrack-single-stim,s556
79,6132.0,larger_later,,discount_fixed,89,66.0,58.0,"89,71",1592,20.0,4000.0,,281347,,poldrack-single-stim,s556
80,4840.0,smaller_sooner,,discount_fixed,71,49.0,172.0,"89,71",2000,20.0,4000.0,,286190,,poldrack-single-stim,s556
81,4568.0,larger_later,,discount_fixed,89,73.0,44.0,"89,71",1867,20.0,4000.0,,290761,,poldrack-single-stim,s556
82,4704.0,smaller_sooner,,discount_fixed,71,58.0,73.0,"89,71",2146,20.0,4000.0,,295469,,poldrack-single-stim,s556
83,5860.0,smaller_sooner,,discount_fixed,71,71.0,76.0,"89,71",593,20.0,4000.0,,301332,,poldrack-single-stim,s556
84,4636.0,smaller_sooner,,discount_fixed,71,67.0,74.0,"89,71",718,20.0,4000.0,,305972,,poldrack-single-stim,s556
85,7500.0,,,discount_fixed,-1,,,none,-1,,7500.0,,313477,rest_block,poldrack-single-stim,s556
86,5316.0,smaller_sooner,,discount_fixed,71,29.0,58.0,"89,71",622,20.0,4000.0,,319797,,poldrack-single-stim,s556
87,4976.0,smaller_sooner,,discount_fixed,71,39.0,104.0,"89,71",512,20.0,4000.0,,324775,,poldrack-single-stim,s556
88,4568.0,smaller_sooner,,discount_fixed,71,33.0,103.0,"89,71",405,20.0,4000.0,,329349,,poldrack-single-stim,s556
89,5520.0,smaller_sooner,,discount_fixed,71,33.0,78.0,"89,71",492,20.0,4000.0,,334875,,poldrack-single-stim,s556
90,5588.0,smaller_sooner,,discount_fixed,71,74.0,52.0,"89,71",319,20.0,4000.0,,340464,,poldrack-single-stim,s556
91,5792.0,smaller_sooner,,discount_fixed,71,28.0,132.0,"89,71",773,20.0,4000.0,,346262,,poldrack-single-stim,s556
92,4568.0,smaller_sooner,,discount_fixed,71,28.0,59.0,"89,71",1169,20.0,4000.0,,350832,,poldrack-single-stim,s556
93,5112.0,smaller_sooner,,discount_fixed,71,28.0,163.0,"89,71",819,20.0,4000.0,,355947,,poldrack-single-stim,s556
94,4500.0,smaller_sooner,,discount_fixed,71,32.0,74.0,"89,71",625,20.0,4000.0,,360449,,poldrack-single-stim,s556
95,4840.0,smaller_sooner,,discount_fixed,71,57.0,89.0,"89,71",581,20.0,4000.0,,365291,,poldrack-single-stim,s556
96,4568.0,smaller_sooner,,discount_fixed,71,70.0,108.0,"89,71",895,20.0,4000.0,,369862,,poldrack-single-stim,s556
97,5384.0,smaller_sooner,,discount_fixed,71,72.0,95.0,"89,71",605,20.0,4000.0,,375249,,poldrack-single-stim,s556
98,5044.0,smaller_sooner,,discount_fixed,71,30.0,36.0,"89,71",1705,20.0,4000.0,,380294,,poldrack-single-stim,s556
99,4704.0,smaller_sooner,,discount_fixed,71,41.0,129.0,"89,71",616,20.0,4000.0,,385004,,poldrack-single-stim,s556
100,4908.0,smaller_sooner,,discount_fixed,71,78.0,129.0,"89,71",600,20.0,4000.0,,389914,,poldrack-single-stim,s556
101,4908.0,smaller_sooner,,discount_fixed,71,71.0,88.0,"89,71",2189,20.0,4000.0,,394823,,poldrack-single-stim,s556
102,4840.0,smaller_sooner,,discount_fixed,71,65.0,159.0,"89,71",1396,20.0,4000.0,,399666,,poldrack-single-stim,s556
103,5112.0,smaller_sooner,,discount_fixed,71,24.0,125.0,"89,71",652,20.0,4000.0,,404781,,poldrack-single-stim,s556
104,5112.0,larger_later,,discount_fixed,89,58.0,36.0,"89,71",1711,20.0,4000.0,,409896,,poldrack-single-stim,s556
105,4704.0,larger_later,,discount_fixed,89,63.0,37.0,"89,71",2073,20.0,4000.0,,414605,,poldrack-single-stim,s556
106,4840.0,larger_later,,discount_fixed,89,75.0,41.0,"89,71",2042,20.0,4000.0,,419447,,poldrack-single-stim,s556
107,4840.0,smaller_sooner,,discount_fixed,71,45.0,72.0,"89,71",1360,20.0,4000.0,,424291,,poldrack-single-stim,s556
108,6880.0,smaller_sooner,,discount_fixed,71,25.0,74.0,"89,71",1537,20.0,4000.0,,431174,,poldrack-single-stim,s556
109,4568.0,smaller_sooner,,discount_fixed,71,65.0,137.0,"89,71",1533,20.0,4000.0,,435747,,poldrack-single-stim,s556
110,4772.0,smaller_sooner,,discount_fixed,71,49.0,140.0,"89,71",2092,20.0,4000.0,,440521,,poldrack-single-stim,s556
111,7016.0,smaller_sooner,,discount_fixed,71,67.0,103.0,"89,71",663,20.0,4000.0,,447539,,poldrack-single-stim,s556
