,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
165,1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",825,500.0,,149520,probe,33.0,poldrack-single-stim,s519
168,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",951,500.0,,154069,probe,34.0,poldrack-single-stim,s519
171,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",820,500.0,,158209,probe,35.0,poldrack-single-stim,s519
174,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",899,500.0,,162486,probe,36.0,poldrack-single-stim,s519
177,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",832,500.0,,166626,probe,37.0,poldrack-single-stim,s519
180,1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",844,500.0,,170903,probe,38.0,poldrack-single-stim,s519
183,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",914,500.0,,174907,probe,39.0,poldrack-single-stim,s519
184,7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,182410,rest_block,,poldrack-single-stim,s519
188,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",822,500.0,,189552,probe,0.0,poldrack-single-stim,s519
191,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",851,500.0,,193557,probe,1.0,poldrack-single-stim,s519
194,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",855,500.0,,198105,probe,2.0,poldrack-single-stim,s519
197,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",807,500.0,,202383,probe,3.0,poldrack-single-stim,s519
200,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",747,500.0,,206524,probe,4.0,poldrack-single-stim,s519
203,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",793,500.0,,210665,probe,5.0,poldrack-single-stim,s519
206,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",812,500.0,,214671,probe,6.0,poldrack-single-stim,s519
209,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",694,500.0,,218677,probe,7.0,poldrack-single-stim,s519
212,2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",862,500.0,,223226,probe,8.0,poldrack-single-stim,s519
215,2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",768,500.0,,228184,probe,9.0,poldrack-single-stim,s519
218,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",783,500.0,,232597,probe,10.0,poldrack-single-stim,s519
221,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",759,500.0,,236602,probe,11.0,poldrack-single-stim,s519
224,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",721,500.0,,241015,probe,12.0,poldrack-single-stim,s519
227,2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",797,500.0,,245700,probe,13.0,poldrack-single-stim,s519
230,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",777,500.0,,249704,probe,14.0,poldrack-single-stim,s519
233,1908.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",794,500.0,,254118,probe,15.0,poldrack-single-stim,s519
236,2316.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",720,500.0,,258939,probe,16.0,poldrack-single-stim,s519
239,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",827,500.0,,263761,probe,17.0,poldrack-single-stim,s519
242,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",757,500.0,,267902,probe,18.0,poldrack-single-stim,s519
245,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",866,500.0,,271908,probe,19.0,poldrack-single-stim,s519
248,1908.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",720,500.0,,276320,probe,20.0,poldrack-single-stim,s519
251,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",765,500.0,,280324,probe,21.0,poldrack-single-stim,s519
254,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",759,500.0,,285145,probe,22.0,poldrack-single-stim,s519
257,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",786,500.0,,289150,probe,23.0,poldrack-single-stim,s519
260,2724.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",767,500.0,,294380,probe,24.0,poldrack-single-stim,s519
263,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",739,500.0,,298384,probe,25.0,poldrack-single-stim,s519
266,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",757,500.0,,302525,probe,26.0,poldrack-single-stim,s519
