,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
47,1072.0,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,1072,"0,0,0,1,2,0,3,0,0",1072.0,,32170,to_hand,poldrack-single-stim,s572
48,268.0,UA_without_intermeidate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,268,"0,0,0,1,2,0,3,0,0",268.0,,32439,to_board,poldrack-single-stim,s572
49,316.0,UA_without_intermeidate,,"2,3,0,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",3.0,,316,"0,0,0,1,2,0,3,0,0",316.0,,32757,to_hand,poldrack-single-stim,s572
50,256.0,UA_without_intermeidate,,"2,3,1,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",3.0,,256,"0,0,0,1,2,0,3,0,0",256.0,,33014,to_board,poldrack-single-stim,s572
51,2000.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,7605.0,-1,,1000.0,,35021,feedback,poldrack-single-stim,s572
52,1500.0,,,,,ward_and_allport,,-1,,,none,,,-1,,1500.0,,36525,test_start_block,poldrack-single-stim,s572
53,2988.0,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,1.0,89,0.0,,2988,"1,2,3,0,0,0,0,0,0",2988.0,,40015,to_hand,poldrack-single-stim,s572
54,278.0,PA_without_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",71,3.0,1.0,"89,71,82",0.0,,278,"1,2,3,0,0,0,0,0,0",278.0,,40294,to_board,poldrack-single-stim,s572
55,999.0,PA_without_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,2.0,"89,71",0.0,,999,"1,2,3,0,0,0,0,0,0",999.0,,41294,to_hand,poldrack-single-stim,s572
56,694.0,PA_without_intermediate,,"1,0,0,3,2,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",71,3.0,2.0,"89,71,82",0.0,,694,"1,2,3,0,0,0,0,0,0",694.0,,41990,to_board,poldrack-single-stim,s572
