,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_word,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
85,congruent,1.0,71.0,test,stroop,71,"89,71,82",742,blue,blue,,96402,stim,42.0,poldrack-single-stim,s172
86,congruent,1.0,82.0,test,stroop,82,"89,71,82",648,green,green,,98404,stim,43.0,poldrack-single-stim,s172
87,incongruent,1.0,82.0,test,stroop,82,"89,71,82",1046,green,blue,,100406,stim,44.0,poldrack-single-stim,s172
88,congruent,1.0,82.0,test,stroop,82,"89,71,82",729,green,green,,102408,stim,45.0,poldrack-single-stim,s172
89,incongruent,1.0,89.0,test,stroop,89,"89,71,82",572,red,blue,,104411,stim,46.0,poldrack-single-stim,s172
90,congruent,1.0,82.0,test,stroop,82,"89,71,82",703,green,green,,106413,stim,47.0,poldrack-single-stim,s172
91,incongruent,1.0,89.0,test,stroop,89,"89,71,82",552,red,blue,,108415,stim,48.0,poldrack-single-stim,s172
92,congruent,1.0,89.0,test,stroop,89,"89,71,82",444,red,red,,110416,stim,49.0,poldrack-single-stim,s172
93,incongruent,1.0,89.0,test,stroop,89,"89,71,82",952,red,blue,,112691,stim,50.0,poldrack-single-stim,s172
94,incongruent,1.0,82.0,test,stroop,82,"89,71,82",832,green,blue,,114692,stim,51.0,poldrack-single-stim,s172
95,congruent,1.0,82.0,test,stroop,82,"89,71,82",675,green,green,,116831,stim,52.0,poldrack-single-stim,s172
96,congruent,1.0,71.0,test,stroop,71,"89,71,82",768,blue,blue,,118833,stim,53.0,poldrack-single-stim,s172
97,congruent,1.0,89.0,test,stroop,89,"89,71,82",465,red,red,,120972,stim,54.0,poldrack-single-stim,s172
98,congruent,1.0,89.0,test,stroop,89,"89,71,82",490,red,red,,122974,stim,55.0,poldrack-single-stim,s172
99,congruent,1.0,89.0,test,stroop,89,"89,71,82",558,red,red,,124976,stim,56.0,poldrack-single-stim,s172
100,incongruent,1.0,89.0,test,stroop,89,"89,71,82",759,red,blue,,126979,stim,57.0,poldrack-single-stim,s172
101,incongruent,1.0,71.0,test,stroop,71,"89,71,82",537,blue,red,,129253,stim,58.0,poldrack-single-stim,s172
102,incongruent,1.0,89.0,test,stroop,89,"89,71,82",682,red,blue,,131255,stim,59.0,poldrack-single-stim,s172
103,incongruent,1.0,82.0,test,stroop,82,"89,71,82",639,green,blue,,133393,stim,60.0,poldrack-single-stim,s172
104,congruent,1.0,82.0,test,stroop,82,"89,71,82",528,green,green,,135803,stim,61.0,poldrack-single-stim,s172
105,incongruent,1.0,89.0,test,stroop,89,"89,71,82",675,red,green,,138078,stim,62.0,poldrack-single-stim,s172
106,congruent,1.0,89.0,test,stroop,89,"89,71,82",408,red,red,,140759,stim,63.0,poldrack-single-stim,s172
107,congruent,1.0,82.0,test,stroop,82,"89,71,82",716,green,green,,142761,stim,64.0,poldrack-single-stim,s172
108,congruent,1.0,71.0,test,stroop,71,"89,71,82",690,blue,blue,,145171,stim,65.0,poldrack-single-stim,s172
109,congruent,1.0,71.0,test,stroop,71,"89,71,82",526,blue,blue,,147309,stim,66.0,poldrack-single-stim,s172
110,incongruent,1.0,71.0,test,stroop,71,"89,71,82",767,blue,green,,149992,stim,67.0,poldrack-single-stim,s172
111,incongruent,1.0,82.0,test,stroop,82,"89,71,82",597,green,blue,,151995,stim,68.0,poldrack-single-stim,s172
112,incongruent,1.0,89.0,test,stroop,89,"89,71,82",781,red,green,,154133,stim,69.0,poldrack-single-stim,s172
113,congruent,1.0,82.0,test,stroop,82,"89,71,82",616,green,green,,157087,stim,70.0,poldrack-single-stim,s172
114,incongruent,1.0,71.0,test,stroop,71,"89,71,82",659,blue,red,,159090,stim,71.0,poldrack-single-stim,s172
115,incongruent,1.0,71.0,test,stroop,71,"89,71,82",774,blue,green,,161363,stim,72.0,poldrack-single-stim,s172
116,incongruent,1.0,89.0,test,stroop,89,"89,71,82",798,red,green,,163366,stim,73.0,poldrack-single-stim,s172
117,congruent,1.0,89.0,test,stroop,89,"89,71,82",692,red,red,,165368,stim,74.0,poldrack-single-stim,s172
118,congruent,1.0,89.0,test,stroop,89,"89,71,82",462,red,red,,167369,stim,75.0,poldrack-single-stim,s172
119,incongruent,1.0,71.0,test,stroop,71,"89,71,82",764,blue,green,,169371,stim,76.0,poldrack-single-stim,s172
120,congruent,1.0,71.0,test,stroop,71,"89,71,82",408,blue,blue,,171509,stim,77.0,poldrack-single-stim,s172
121,congruent,1.0,89.0,test,stroop,89,"89,71,82",571,red,red,,173512,stim,78.0,poldrack-single-stim,s172
122,incongruent,1.0,82.0,test,stroop,82,"89,71,82",692,green,blue,,175514,stim,79.0,poldrack-single-stim,s172
123,congruent,1.0,82.0,test,stroop,82,"89,71,82",475,green,green,,177652,stim,80.0,poldrack-single-stim,s172
124,incongruent,1.0,71.0,test,stroop,71,"89,71,82",588,blue,red,,179654,stim,81.0,poldrack-single-stim,s172
125,incongruent,1.0,71.0,test,stroop,71,"89,71,82",618,blue,green,,181656,stim,82.0,poldrack-single-stim,s172
126,incongruent,1.0,82.0,test,stroop,82,"89,71,82",617,green,red,,183795,stim,83.0,poldrack-single-stim,s172
127,congruent,1.0,71.0,test,stroop,71,"89,71,82",675,blue,blue,,185932,stim,84.0,poldrack-single-stim,s172
128,congruent,1.0,71.0,test,stroop,71,"89,71,82",531,blue,blue,,188206,stim,85.0,poldrack-single-stim,s172
129,incongruent,1.0,71.0,test,stroop,71,"89,71,82",860,blue,green,,190888,stim,86.0,poldrack-single-stim,s172
130,congruent,1.0,82.0,test,stroop,82,"89,71,82",519,green,green,,192890,stim,87.0,poldrack-single-stim,s172
131,congruent,1.0,71.0,test,stroop,71,"89,71,82",835,blue,blue,,194892,stim,88.0,poldrack-single-stim,s172
132,incongruent,1.0,71.0,test,stroop,71,"89,71,82",669,blue,red,,197167,stim,89.0,poldrack-single-stim,s172
133,incongruent,1.0,89.0,test,stroop,89,"89,71,82",420,red,green,,199169,stim,90.0,poldrack-single-stim,s172
134,congruent,1.0,89.0,test,stroop,89,"89,71,82",525,red,red,,201171,stim,91.0,poldrack-single-stim,s172
135,incongruent,1.0,82.0,test,stroop,82,"89,71,82",624,green,red,,203173,stim,92.0,poldrack-single-stim,s172
136,incongruent,1.0,82.0,test,stroop,82,"89,71,82",661,green,blue,,205175,stim,93.0,poldrack-single-stim,s172
137,incongruent,1.0,82.0,test,stroop,82,"89,71,82",563,green,red,,207177,stim,94.0,poldrack-single-stim,s172
138,incongruent,1.0,89.0,test,stroop,89,"89,71,82",596,red,blue,,209179,stim,95.0,poldrack-single-stim,s172
