,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",804.0,#1F45FC,1000.0,7.0,magnitude,switch,,-101035,stim,0.0,poldrack-categorize,s130
13,900.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",486.0,orange,1000.0,2.0,magnitude,stay,,-96623,stim,1.0,poldrack-categorize,s130
18,900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",853.0,orange,1000.0,9.0,color,switch,,-92212,stim,2.0,poldrack-categorize,s130
23,900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",509.0,orange,1000.0,8.0,color,stay,,-87800,stim,3.0,poldrack-categorize,s130
28,100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",837.0,#1F45FC,1000.0,1.0,magnitude,switch,,-84190,stim,4.0,poldrack-categorize,s130
33,900.0,2000.0,True,71.0,High-Low,stay,practice,twobytwo,500.0,71.0,"89,71",858.0,orange,1000.0,6.0,magnitude,stay,,-79778,stim,5.0,poldrack-categorize,s130
38,100.0,2000.0,True,71.0,High-Low,stay,practice,twobytwo,500.0,71.0,"89,71",673.0,#1F45FC,1000.0,7.0,magnitude,stay,,-76169,stim,6.0,poldrack-categorize,s130
43,100.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",737.0,orange,1000.0,7.0,color,switch,,-72557,stim,7.0,poldrack-categorize,s130
48,100.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",648.0,orange,1000.0,8.0,color,stay,,-68945,stim,8.0,poldrack-categorize,s130
53,100.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",1084.0,#1F45FC,1000.0,4.0,color,stay,,-65336,stim,9.0,poldrack-categorize,s130
58,900.0,2000.0,True,71.0,Color,switch,practice,twobytwo,500.0,71.0,"89,71",511.0,#1F45FC,1000.0,7.0,color,stay,,-60923,stim,10.0,poldrack-categorize,s130
63,900.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",631.0,#1F45FC,1000.0,3.0,magnitude,switch,,-56514,stim,11.0,poldrack-categorize,s130
68,100.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",697.0,orange,1000.0,3.0,magnitude,stay,,-52903,stim,12.0,poldrack-categorize,s130
73,100.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",919.0,#1F45FC,1000.0,8.0,color,switch,,-49292,stim,13.0,poldrack-categorize,s130
78,100.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",909.0,#1F45FC,1000.0,6.0,magnitude,switch,,-45682,stim,14.0,poldrack-categorize,s130
83,900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",700.0,#1F45FC,1000.0,4.0,color,switch,,-41272,stim,15.0,poldrack-categorize,s130
107,100.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1083.0,#1F45FC,1000.0,7.0,magnitude,switch,,5751,stim,0.0,poldrack-single-stim,s130
110,100.0,2680.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",778.0,orange,1000.0,2.0,magnitude,stay,,8536,stim,1.0,poldrack-single-stim,s130
113,900.0,2544.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",480.0,orange,1000.0,9.0,magnitude,stay,,11986,stim,2.0,poldrack-single-stim,s130
116,900.0,2272.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",476.0,orange,1000.0,8.0,magnitude,stay,,15162,stim,3.0,poldrack-single-stim,s130
119,100.0,2272.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",630.0,#1F45FC,1000.0,1.0,magnitude,stay,,17539,stim,4.0,poldrack-single-stim,s130
122,900.0,2408.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",410.0,orange,1000.0,6.0,color,switch,,20851,stim,5.0,poldrack-single-stim,s130
125,100.0,2136.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",645.0,#1F45FC,1000.0,7.0,color,stay,,23091,stim,6.0,poldrack-single-stim,s130
128,900.0,2272.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",456.0,orange,1000.0,7.0,magnitude,switch,,26268,stim,7.0,poldrack-single-stim,s130
131,900.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",448.0,orange,1000.0,8.0,magnitude,stay,,29174,stim,8.0,poldrack-single-stim,s130
134,900.0,2136.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",678.0,#1F45FC,1000.0,4.0,magnitude,stay,,32216,stim,9.0,poldrack-single-stim,s130
137,900.0,2272.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",496.0,#1F45FC,1000.0,7.0,magnitude,stay,,35392,stim,10.0,poldrack-single-stim,s130
140,100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",968.0,#1F45FC,1000.0,3.0,color,switch,,37498,stim,11.0,poldrack-single-stim,s130
143,100.0,2680.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",924.0,orange,1000.0,3.0,magnitude,switch,,40283,stim,12.0,poldrack-single-stim,s130
146,100.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",687.0,#1F45FC,1000.0,8.0,magnitude,stay,,42389,stim,13.0,poldrack-single-stim,s130
149,100.0,2000.0,False,71.0,Color,,test,twobytwo,,89.0,"89,71",866.0,#1F45FC,1000.0,6.0,color,switch,,44494,stim,14.0,poldrack-single-stim,s130
152,900.0,2000.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",550.0,#1F45FC,1000.0,4.0,color,stay,,47399,stim,15.0,poldrack-single-stim,s130
155,100.0,2272.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1153.0,orange,1000.0,3.0,magnitude,switch,,49776,stim,16.0,poldrack-single-stim,s130
158,900.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",542.0,orange,1000.0,2.0,color,switch,,52681,stim,17.0,poldrack-single-stim,s130
