,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
4,31445.0,,,,,ward_and_allport,,32,,,32,,,31445,,31445.0,,-38931,instruction,poldrack-single-stim,s555
23,1500.0,,,,,ward_and_allport,,-1,,,none,,,-1,,1500.0,,2504,practice_start_block,poldrack-single-stim,s555
24,6790.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,6790,"1,0,0,2,3,0,0,0,0",6790.0,,9797,to_hand,poldrack-single-stim,s555
25,2665.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",0.0,,2665,"1,0,0,2,3,0,0,0,0",2665.0,,12463,to_board,poldrack-single-stim,s555
26,1143.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,1143,"1,0,0,2,3,0,0,0,0",1143.0,,13609,to_hand,poldrack-single-stim,s555
27,1342.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,1342,"1,0,0,2,3,0,0,0,0",1342.0,,14952,to_board,poldrack-single-stim,s555
28,944.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,82",0.0,,944,"1,0,0,2,3,0,0,0,0",944.0,,15897,to_hand,poldrack-single-stim,s555
29,832.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,832,"1,0,0,2,3,0,0,0,0",832.0,,16730,to_board,poldrack-single-stim,s555
30,2500.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,16729.0,-1,,1000.0,,19234,feedback,poldrack-single-stim,s555
31,4592.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,4592,"1,2,0,3,0,0,0,0,0",4592.0,,23829,to_hand,poldrack-single-stim,s555
32,1171.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,1171,"1,2,0,3,0,0,0,0,0",1171.0,,25000,to_board,poldrack-single-stim,s555
33,736.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,736,"1,2,0,3,0,0,0,0,0",736.0,,25738,to_hand,poldrack-single-stim,s555
34,998.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,998,"1,2,0,3,0,0,0,0,0",998.0,,26738,to_board,poldrack-single-stim,s555
35,908.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,908,"1,2,0,3,0,0,0,0,0",908.0,,27648,to_hand,poldrack-single-stim,s555
36,945.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,945,"1,2,0,3,0,0,0,0,0",945.0,,28593,to_board,poldrack-single-stim,s555
37,2100.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,11461.0,-1,,1000.0,,30696,feedback,poldrack-single-stim,s555
38,3902.0,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"71,82",2.0,,3902,"0,0,0,1,2,0,3,0,0",3902.0,,34599,to_hand,poldrack-single-stim,s555
39,895.0,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",2.0,,895,"0,0,0,1,2,0,3,0,0",895.0,,35494,to_board,poldrack-single-stim,s555
40,910.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"89,71",2.0,,910,"0,0,0,1,2,0,3,0,0",910.0,,36407,to_hand,poldrack-single-stim,s555
