,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
7,1900.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",527,500.0,,-77877,probe,0.0,poldrack-single-stim,s192
11,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",336,500.0,,-73363,probe,1.0,poldrack-single-stim,s192
15,2500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",499,500.0,,-67850,probe,2.0,poldrack-single-stim,s192
19,1500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",504,500.0,,-63339,probe,3.0,poldrack-single-stim,s192
23,2300.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",512,500.0,,-58025,probe,4.0,poldrack-single-stim,s192
27,1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",484,500.0,,-53513,probe,5.0,poldrack-single-stim,s192
31,1700.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",401,500.0,,-48798,probe,6.0,poldrack-single-stim,s192
35,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",555,500.0,,-44286,probe,7.0,poldrack-single-stim,s192
39,2100.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",534,500.0,,-39177,probe,8.0,poldrack-single-stim,s192
43,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",366,500.0,,-34663,probe,9.0,poldrack-single-stim,s192
66,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",791,500.0,,7155,probe,0.0,poldrack-single-stim,s192
69,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",515,500.0,,11160,probe,1.0,poldrack-single-stim,s192
72,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",315,500.0,,15718,probe,2.0,poldrack-single-stim,s192
75,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",421,500.0,,20003,probe,3.0,poldrack-single-stim,s192
78,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",292,500.0,,24148,probe,4.0,poldrack-single-stim,s192
81,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",305,500.0,,28297,probe,5.0,poldrack-single-stim,s192
84,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",336,500.0,,32310,probe,6.0,poldrack-single-stim,s192
87,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",385,500.0,,36319,probe,7.0,poldrack-single-stim,s192
90,2044.0,AY,0.0,71.0,test,dot_pattern_expectancy,89.0,"89,71",453,500.0,,40876,probe,8.0,poldrack-single-stim,s192
93,2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",441,500.0,,45839,probe,9.0,poldrack-single-stim,s192
96,1908.0,AX,0.0,89.0,test,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,50255,probe,10.0,poldrack-single-stim,s192
99,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",481,500.0,,54268,probe,11.0,poldrack-single-stim,s192
102,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",578,500.0,,58687,probe,12.0,poldrack-single-stim,s192
105,2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",335,500.0,,63381,probe,13.0,poldrack-single-stim,s192
108,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",469,500.0,,67394,probe,14.0,poldrack-single-stim,s192
111,1908.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",374,500.0,,71813,probe,15.0,poldrack-single-stim,s192
114,2316.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",387,500.0,,76640,probe,16.0,poldrack-single-stim,s192
117,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",555,500.0,,81467,probe,17.0,poldrack-single-stim,s192
120,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",320,500.0,,85615,probe,18.0,poldrack-single-stim,s192
123,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",475,500.0,,89627,probe,19.0,poldrack-single-stim,s192
126,1908.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",301,500.0,,94043,probe,20.0,poldrack-single-stim,s192
129,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",393,500.0,,98056,probe,21.0,poldrack-single-stim,s192
132,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",481,500.0,,102886,probe,22.0,poldrack-single-stim,s192
135,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",383,500.0,,106897,probe,23.0,poldrack-single-stim,s192
138,2724.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",443,500.0,,112129,probe,24.0,poldrack-single-stim,s192
141,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",498,500.0,,116142,probe,25.0,poldrack-single-stim,s192
144,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",459,500.0,,120289,probe,26.0,poldrack-single-stim,s192
147,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",331,500.0,,124436,probe,27.0,poldrack-single-stim,s192
150,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",349,500.0,,128721,probe,28.0,poldrack-single-stim,s192
153,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",352,500.0,,133004,probe,29.0,poldrack-single-stim,s192
156,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",399,500.0,,137015,probe,30.0,poldrack-single-stim,s192
159,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",310,500.0,,141975,probe,31.0,poldrack-single-stim,s192
162,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",560,500.0,,146119,probe,32.0,poldrack-single-stim,s192
165,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",363,500.0,,150263,probe,33.0,poldrack-single-stim,s192
168,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",325,500.0,,154276,probe,34.0,poldrack-single-stim,s192
171,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",393,500.0,,158287,probe,35.0,poldrack-single-stim,s192
174,2316.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",692,500.0,,163117,probe,36.0,poldrack-single-stim,s192
177,2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",587,500.0,,167677,probe,37.0,poldrack-single-stim,s192
180,3948.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",379,500.0,,174136,probe,38.0,poldrack-single-stim,s192
183,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",313,500.0,,178280,probe,39.0,poldrack-single-stim,s192
184,7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,185784,rest_block,,poldrack-single-stim,s192
188,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",527,500.0,,192936,probe,0.0,poldrack-single-stim,s192
191,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",344,500.0,,197080,probe,1.0,poldrack-single-stim,s192
194,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",404,500.0,,201091,probe,2.0,poldrack-single-stim,s192
197,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",571,500.0,,205104,probe,3.0,poldrack-single-stim,s192
200,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",430,500.0,,209524,probe,4.0,poldrack-single-stim,s192
203,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",321,500.0,,213668,probe,5.0,poldrack-single-stim,s192
206,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",402,500.0,,218223,probe,6.0,poldrack-single-stim,s192
209,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",457,500.0,,222505,probe,7.0,poldrack-single-stim,s192
212,1500.0,AX,0.0,89.0,test,dot_pattern_expectancy,71.0,"89,71",387,500.0,,226516,probe,8.0,poldrack-single-stim,s192
215,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",840,500.0,,231204,probe,9.0,poldrack-single-stim,s192
218,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",422,500.0,,235218,probe,10.0,poldrack-single-stim,s192
221,3676.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",376,500.0,,241400,probe,11.0,poldrack-single-stim,s192
224,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",372,500.0,,245546,probe,12.0,poldrack-single-stim,s192
227,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",396,500.0,,249690,probe,13.0,poldrack-single-stim,s192
230,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",407,500.0,,253703,probe,14.0,poldrack-single-stim,s192
233,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",390,500.0,,258126,probe,15.0,poldrack-single-stim,s192
236,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",350,500.0,,262272,probe,16.0,poldrack-single-stim,s192
239,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",365,500.0,,266285,probe,17.0,poldrack-single-stim,s192
242,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",380,500.0,,270704,probe,18.0,poldrack-single-stim,s192
245,2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",363,500.0,,275392,probe,19.0,poldrack-single-stim,s192
248,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",688,500.0,,279675,probe,20.0,poldrack-single-stim,s192
251,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",448,500.0,,283686,probe,21.0,poldrack-single-stim,s192
254,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",441,500.0,,287699,probe,22.0,poldrack-single-stim,s192
257,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",441,500.0,,292257,probe,23.0,poldrack-single-stim,s192
260,2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",384,500.0,,297627,probe,24.0,poldrack-single-stim,s192
263,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",339,500.0,,301638,probe,25.0,poldrack-single-stim,s192
266,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",311,500.0,,305921,probe,26.0,poldrack-single-stim,s192
269,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",411,500.0,,310204,probe,27.0,poldrack-single-stim,s192
272,2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",606,500.0,,315575,probe,28.0,poldrack-single-stim,s192
275,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",306,500.0,,319857,probe,29.0,poldrack-single-stim,s192
278,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",307,500.0,,324002,probe,30.0,poldrack-single-stim,s192
