,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
148,2100.136,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",576,1700.0,,81202,stim,29.0,poldrack-single-stim,s546
151,2100.272,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",408,1700.0,,83808,stim,30.0,poldrack-single-stim,s546
154,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",558,1700.0,,86416,stim,31.0,poldrack-single-stim,s546
157,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",484,1700.0,,89024,stim,32.0,poldrack-single-stim,s546
160,2100.0,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",468,1700.0,,91629,stim,33.0,poldrack-single-stim,s546
163,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",493,1700.0,,94234,stim,34.0,poldrack-single-stim,s546
166,2100.408,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",446,1700.0,,96840,stim,35.0,poldrack-single-stim,s546
169,2100.544,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",412,1700.0,,99446,stim,36.0,poldrack-single-stim,s546
172,2100.408,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",493,1700.0,,102053,stim,37.0,poldrack-single-stim,s546
175,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",502,1700.0,,104661,stim,38.0,poldrack-single-stim,s546
178,2100.408,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",420,1700.0,,107267,stim,39.0,poldrack-single-stim,s546
181,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",500,1700.0,,109871,stim,40.0,poldrack-single-stim,s546
184,2100.408,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",523,1700.0,,112477,stim,41.0,poldrack-single-stim,s546
187,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",402,1700.0,,115083,stim,42.0,poldrack-single-stim,s546
190,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",443,1700.0,,117689,stim,43.0,poldrack-single-stim,s546
193,2100.408,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",640,1700.0,,120294,stim,44.0,poldrack-single-stim,s546
196,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",529,1700.0,,122899,stim,45.0,poldrack-single-stim,s546
199,2100.272,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",498,1700.0,,125505,stim,46.0,poldrack-single-stim,s546
202,2100.544,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",415,1700.0,,128112,stim,47.0,poldrack-single-stim,s546
205,2100.272,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",482,1700.0,,130718,stim,48.0,poldrack-single-stim,s546
208,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",460,1700.0,,133324,stim,49.0,poldrack-single-stim,s546
211,2100.408,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",458,1700.0,,135931,stim,50.0,poldrack-single-stim,s546
214,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",440,1700.0,,138537,stim,51.0,poldrack-single-stim,s546
217,2100.0,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",571,1700.0,,141144,stim,52.0,poldrack-single-stim,s546
220,2100.544,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",420,1700.0,,143751,stim,53.0,poldrack-single-stim,s546
223,2100.408,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",355,1700.0,,146356,stim,54.0,poldrack-single-stim,s546
226,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",435,1700.0,,148962,stim,55.0,poldrack-single-stim,s546
229,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",434,1700.0,,151567,stim,56.0,poldrack-single-stim,s546
232,2100.8160000000003,0.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,89,"89,71",428,1700.0,,154173,stim,57.0,poldrack-single-stim,s546
235,2100.136,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",567,1700.0,,156780,stim,58.0,poldrack-single-stim,s546
238,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",427,1700.0,,159386,stim,59.0,poldrack-single-stim,s546
241,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",504,1700.0,,161993,stim,60.0,poldrack-single-stim,s546
244,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",681,1700.0,,164600,stim,61.0,poldrack-single-stim,s546
247,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",608,1700.0,,167205,stim,62.0,poldrack-single-stim,s546
250,2100.544,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",579,1700.0,,169811,stim,63.0,poldrack-single-stim,s546
251,7500.0,,,,,attention_network_task,,,,,-1,none,-1,7500.0,,177314,rest_block,,poldrack-single-stim,s546
255,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",578,1700.0,,182924,stim,64.0,poldrack-single-stim,s546
258,2100.272,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",764,1700.0,,185531,stim,65.0,poldrack-single-stim,s546
261,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",439,1700.0,,188137,stim,66.0,poldrack-single-stim,s546
264,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",515,1700.0,,190744,stim,67.0,poldrack-single-stim,s546
267,2100.408,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",502,1700.0,,193350,stim,68.0,poldrack-single-stim,s546
