block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
314.0,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",2.0,,314,"0,0,0,1,2,0,3,0,0",314.0,,30798,0.0,to_board,poldrack-single-stim,s471
1315.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"89,71",2.0,,1315,"0,0,0,1,2,0,3,0,0",1315.0,,32116,0.0,to_hand,poldrack-single-stim,s471
369.0,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,369,"0,0,0,1,2,0,3,0,0",369.0,,32487,0.0,to_board,poldrack-single-stim,s471
865.0,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",2.0,,865,"0,0,0,1,2,0,3,0,0",865.0,,33355,0.0,to_hand,poldrack-single-stim,s471
252.0,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",2.0,,252,"0,0,0,1,2,0,3,0,0",252.0,,33607,0.0,to_board,poldrack-single-stim,s471
2200.0,UA_without_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,2.0,7955.0,-1,,1000.0,,35812,0.0,feedback,poldrack-single-stim,s471
1776.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",3.0,,1776,"0,0,0,1,2,0,3,0,0",1776.0,,37591,0.0,to_hand,poldrack-single-stim,s471
337.0,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,337,"0,0,0,1,2,0,3,0,0",337.0,,37929,0.0,to_board,poldrack-single-stim,s471
423.0,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,423,"0,0,0,1,2,0,3,0,0",423.0,,38355,0.0,to_hand,poldrack-single-stim,s471
371.0,UA_without_intermeidate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,371,"0,0,0,1,2,0,3,0,0",371.0,,38727,0.0,to_board,poldrack-single-stim,s471
502.0,UA_without_intermeidate,,"2,3,0,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",3.0,,502,"0,0,0,1,2,0,3,0,0",502.0,,39232,0.0,to_hand,poldrack-single-stim,s471
262.0,UA_without_intermeidate,,"2,3,1,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",3.0,,262,"0,0,0,1,2,0,3,0,0",262.0,,39495,0.0,to_board,poldrack-single-stim,s471
2000.0,UA_without_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,3.0,5687.0,-1,,1000.0,,41499,0.0,feedback,poldrack-single-stim,s471
4527.0,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,1.0,89,0.0,,4527,"1,2,3,0,0,0,0,0,0",4527.0,,48032,0.0,to_hand,poldrack-single-stim,s471
351.0,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,1.0,"89,71,82",0.0,,351,"1,2,3,0,0,0,0,0,0",351.0,,48385,0.0,to_board,poldrack-single-stim,s471
976.0,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,2.0,"89,71",0.0,,976,"1,2,3,0,0,0,0,0,0",976.0,,49364,0.0,to_hand,poldrack-single-stim,s471
368.0,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,2.0,"89,71,82",0.0,,368,"1,2,3,0,0,0,0,0,0",368.0,,49734,0.0,to_board,poldrack-single-stim,s471
501.0,PA_with_intermediate,,"0,0,0,3,0,0,2,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,3.0,"89,71,82",0.0,,501,"1,2,3,0,0,0,0,0,0",501.0,,50239,0.0,to_hand,poldrack-single-stim,s471
1241.0,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,3.0,"89,71,82",0.0,,1241,"1,2,3,0,0,0,0,0,0",1241.0,,51482,0.0,to_board,poldrack-single-stim,s471
897.0,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,4.0,"89,71,82",0.0,,897,"1,2,3,0,0,0,0,0,0",897.0,,52382,0.0,to_hand,poldrack-single-stim,s471
390.0,PA_with_intermediate,,"1,0,0,0,0,0,2,3,0",test,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,4.0,"89,71,82",0.0,,390,"1,2,3,0,0,0,0,0,0",390.0,,52773,0.0,to_board,poldrack-single-stim,s471
4176.0,PA_with_intermediate,True,,test,ward_and_allport,,-1,3.0,4.0,none,0.0,13951.0,-1,,1000.0,,56954,0.0,feedback,poldrack-single-stim,s471
3836.0,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",test,ward_and_allport,"0,0,0,2,3,0,1,0,0",82,3.0,1.0,82,1.0,,3836,"0,0,0,0,0,0,1,2,3",3836.0,,60794,0.0,to_hand,poldrack-single-stim,s471
212.0,PA_with_intermediate,,"3,0,0,0,0,0,1,2,0",test,ward_and_allport,"0,0,0,2,3,0,1,0,0",89,3.0,1.0,"89,71,82",1.0,,212,"0,0,0,0,0,0,1,2,3",212.0,,61007,0.0,to_board,poldrack-single-stim,s471
1506.0,PA_with_intermediate,,"3,0,0,0,0,0,1,0,0",test,ward_and_allport,"0,0,0,2,3,0,1,0,0",82,3.0,2.0,"89,82",1.0,,1506,"0,0,0,0,0,0,1,2,3",1506.0,,62516,0.0,to_hand,poldrack-single-stim,s471
314.0,PA_with_intermediate,,"3,0,0,2,0,0,1,0,0",test,ward_and_allport,"0,0,0,2,3,0,1,0,0",71,3.0,2.0,"89,71,82",1.0,,314,"0,0,0,0,0,0,1,2,3",314.0,,62831,0.0,to_board,poldrack-single-stim,s471
752.0,PA_with_intermediate,,"0,0,0,2,0,0,1,0,0",test,ward_and_allport,"0,0,0,2,3,0,1,0,0",89,3.0,3.0,"89,71,82",1.0,,752,"0,0,0,0,0,0,1,2,3",752.0,,63586,0.0,to_hand,poldrack-single-stim,s471
363.0,PA_with_intermediate,,"0,0,0,2,3,0,1,0,0",test,ward_and_allport,"0,0,0,2,3,0,1,0,0",71,3.0,3.0,"89,71,82",1.0,,363,"0,0,0,0,0,0,1,2,3",363.0,,63949,0.0,to_board,poldrack-single-stim,s471
3360.0,PA_with_intermediate,True,,test,ward_and_allport,,-1,3.0,3.0,none,1.0,10360.0,-1,,1000.0,,67313,0.0,feedback,poldrack-single-stim,s471
3736.0,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",test,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,1.0,71,2.0,,3736,"0,0,0,1,2,3,0,0,0",3736.0,,71054,0.0,to_hand,poldrack-single-stim,s471
1362.0,PA_with_intermediate,,"0,0,0,1,2,0,3,0,0",test,ward_and_allport,"2,0,0,1,3,0,0,0,0",82,3.0,1.0,"89,71,82",2.0,,1362,"0,0,0,1,2,3,0,0,0",1362.0,,72417,0.0,to_board,poldrack-single-stim,s471
565.0,PA_with_intermediate,,"0,0,0,1,0,0,3,0,0",test,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,2.0,"71,82",2.0,,565,"0,0,0,1,2,3,0,0,0",565.0,,72984,0.0,to_hand,poldrack-single-stim,s471
287.0,PA_with_intermediate,,"2,0,0,1,0,0,3,0,0",test,ward_and_allport,"2,0,0,1,3,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,287,"0,0,0,1,2,3,0,0,0",287.0,,73274,0.0,to_board,poldrack-single-stim,s471
376.0,PA_with_intermediate,,"2,0,0,1,0,0,0,0,0",test,ward_and_allport,"2,0,0,1,3,0,0,0,0",82,3.0,3.0,"89,71,82",2.0,,376,"0,0,0,1,2,3,0,0,0",376.0,,73654,0.0,to_hand,poldrack-single-stim,s471
318.0,PA_with_intermediate,,"2,0,0,1,3,0,0,0,0",test,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,3.0,"89,71,82",2.0,,318,"0,0,0,1,2,3,0,0,0",318.0,,73974,0.0,to_board,poldrack-single-stim,s471
2000.0,PA_with_intermediate,True,,test,ward_and_allport,,-1,3.0,3.0,none,2.0,8665.0,-1,,1000.0,,75979,0.0,feedback,poldrack-single-stim,s471
3970.0,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",test,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,1.0,89,3.0,,3970,"1,2,3,0,0,0,0,0,0",3970.0,,79954,0.0,to_hand,poldrack-single-stim,s471
194.0,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",test,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,1.0,"89,71,82",3.0,,194,"1,2,3,0,0,0,0,0,0",194.0,,80150,0.0,to_board,poldrack-single-stim,s471
793.0,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",test,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,2.0,"89,82",3.0,,793,"1,2,3,0,0,0,0,0,0",793.0,,80947,0.0,to_hand,poldrack-single-stim,s471
995.0,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",test,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,2.0,"89,71,82",3.0,,995,"1,2,3,0,0,0,0,0,0",995.0,,81944,0.0,to_board,poldrack-single-stim,s471
648.0,PA_without_intermediate,,"1,0,0,0,0,0,3,0,0",test,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,3.0,"89,82",3.0,,648,"1,2,3,0,0,0,0,0,0",648.0,,82596,0.0,to_hand,poldrack-single-stim,s471
