block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
4568.0,larger_later,,discount_fixed,89,23.0,77.0,"89,71",1603,20.0,4000.0,,231929,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,27.0,130.0,"89,71",1255,20.0,4000.0,,236500,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,23.0,134.0,"89,71",1211,20.0,4000.0,,241342,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,55.0,107.0,"89,71",834,20.0,4000.0,,245844,0.0,,poldrack-single-stim,s558
5656.0,larger_later,,discount_fixed,89,44.0,143.0,"89,71",1161,20.0,4000.0,,251502,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,23.0,110.0,"89,71",1182,20.0,4000.0,,256413,0.0,,poldrack-single-stim,s558
4636.0,larger_later,,discount_fixed,89,65.0,156.0,"89,71",849,20.0,4000.0,,261050,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,22.0,27.0,"89,71",1049,20.0,4000.0,,265552,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,50.0,59.0,"89,71",894,20.0,4000.0,,270054,0.0,,poldrack-single-stim,s558
5112.0,larger_later,,discount_fixed,89,85.0,129.0,"89,71",774,20.0,4000.0,,275167,0.0,,poldrack-single-stim,s558
6132.0,larger_later,,discount_fixed,89,66.0,58.0,"89,71",868,20.0,4000.0,,281301,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,49.0,172.0,"89,71",598,20.0,4000.0,,286144,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,73.0,44.0,"89,71",701,20.0,4000.0,,290714,0.0,,poldrack-single-stim,s558
4704.0,larger_later,,discount_fixed,89,58.0,73.0,"89,71",785,20.0,4000.0,,295420,0.0,,poldrack-single-stim,s558
5860.0,larger_later,,discount_fixed,89,71.0,76.0,"89,71",594,20.0,4000.0,,301281,0.0,,poldrack-single-stim,s558
4636.0,larger_later,,discount_fixed,89,67.0,74.0,"89,71",594,20.0,4000.0,,305919,0.0,,poldrack-single-stim,s558
7500.0,,,discount_fixed,-1,,,none,-1,,7500.0,,313422,1000.0,rest_block,poldrack-single-stim,s558
5316.0,larger_later,,discount_fixed,89,29.0,58.0,"89,71",1079,20.0,4000.0,,319740,0.0,,poldrack-single-stim,s558
4976.0,larger_later,,discount_fixed,89,39.0,104.0,"89,71",1547,20.0,4000.0,,324718,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,33.0,103.0,"89,71",697,20.0,4000.0,,329288,0.0,,poldrack-single-stim,s558
5520.0,larger_later,,discount_fixed,89,33.0,78.0,"89,71",846,20.0,4000.0,,334810,0.0,,poldrack-single-stim,s558
5588.0,larger_later,,discount_fixed,89,74.0,52.0,"89,71",571,20.0,4000.0,,340400,0.0,,poldrack-single-stim,s558
5792.0,larger_later,,discount_fixed,89,28.0,132.0,"89,71",1184,20.0,4000.0,,346193,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,28.0,59.0,"89,71",602,20.0,4000.0,,350764,0.0,,poldrack-single-stim,s558
5112.0,larger_later,,discount_fixed,89,28.0,163.0,"89,71",881,20.0,4000.0,,355878,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,32.0,74.0,"89,71",2000,20.0,4000.0,,360380,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,57.0,89.0,"89,71",1231,20.0,4000.0,,365222,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,70.0,108.0,"89,71",869,20.0,4000.0,,369792,0.0,,poldrack-single-stim,s558
5384.0,larger_later,,discount_fixed,89,72.0,95.0,"89,71",674,20.0,4000.0,,375177,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,30.0,36.0,"89,71",881,20.0,4000.0,,380223,0.0,,poldrack-single-stim,s558
4704.0,larger_later,,discount_fixed,89,41.0,129.0,"89,71",1670,20.0,4000.0,,384929,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,78.0,129.0,"89,71",732,20.0,4000.0,,389839,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,71.0,88.0,"89,71",668,20.0,4000.0,,394749,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,65.0,159.0,"89,71",680,20.0,4000.0,,399591,0.0,,poldrack-single-stim,s558
5112.0,larger_later,,discount_fixed,89,24.0,125.0,"89,71",622,20.0,4000.0,,404705,0.0,,poldrack-single-stim,s558
5112.0,larger_later,,discount_fixed,89,58.0,36.0,"89,71",764,20.0,4000.0,,409819,0.0,,poldrack-single-stim,s558
4704.0,larger_later,,discount_fixed,89,63.0,37.0,"89,71",588,20.0,4000.0,,414525,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,75.0,41.0,"89,71",821,20.0,4000.0,,419367,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,45.0,72.0,"89,71",826,20.0,4000.0,,424210,0.0,,poldrack-single-stim,s558
6880.0,larger_later,,discount_fixed,89,25.0,74.0,"89,71",948,20.0,4000.0,,431092,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,65.0,137.0,"89,71",1069,20.0,4000.0,,435662,0.0,,poldrack-single-stim,s558
4772.0,larger_later,,discount_fixed,89,49.0,140.0,"89,71",812,20.0,4000.0,,440436,0.0,,poldrack-single-stim,s558
7016.0,larger_later,,discount_fixed,89,67.0,103.0,"89,71",867,20.0,4000.0,,447453,0.0,,poldrack-single-stim,s558
4704.0,larger_later,,discount_fixed,89,69.0,172.0,"89,71",766,20.0,4000.0,,452160,0.0,,poldrack-single-stim,s558
5180.0,larger_later,,discount_fixed,89,66.0,71.0,"89,71",617,20.0,4000.0,,457342,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,71.0,176.0,"89,71",516,20.0,4000.0,,462388,0.0,,poldrack-single-stim,s558
5316.0,larger_later,,discount_fixed,89,31.0,76.0,"89,71",923,20.0,4000.0,,467706,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",453,20.0,4000.0,,472277,0.0,,poldrack-single-stim,s558
4636.0,larger_later,,discount_fixed,89,60.0,124.0,"89,71",899,20.0,4000.0,,476914,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,27.0,142.0,"89,71",846,20.0,4000.0,,481823,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,25.0,70.0,"89,71",1105,20.0,4000.0,,486325,0.0,,poldrack-single-stim,s558
4976.0,larger_later,,discount_fixed,89,44.0,92.0,"89,71",936,20.0,4000.0,,491303,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,41.0,27.0,"89,71",401,20.0,4000.0,,496213,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,64.0,89.0,"89,71",606,20.0,4000.0,,500783,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,78.0,108.0,"89,71",556,20.0,4000.0,,505286,0.0,,poldrack-single-stim,s558
6200.0,larger_later,,discount_fixed,89,80.0,145.0,"89,71",777,20.0,4000.0,,511488,0.0,,poldrack-single-stim,s558
4704.0,larger_later,,discount_fixed,89,41.0,174.0,"89,71",591,20.0,4000.0,,516194,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,42.0,145.0,"89,71",647,20.0,4000.0,,521240,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,36.0,114.0,"89,71",454,20.0,4000.0,,526286,0.0,,poldrack-single-stim,s558
5180.0,larger_later,,discount_fixed,89,58.0,55.0,"89,71",780,20.0,4000.0,,531468,0.0,,poldrack-single-stim,s558
4976.0,larger_later,,discount_fixed,89,81.0,58.0,"89,71",1195,20.0,4000.0,,536445,0.0,,poldrack-single-stim,s558
4772.0,larger_later,,discount_fixed,89,32.0,111.0,"89,71",1767,20.0,4000.0,,541219,0.0,,poldrack-single-stim,s558
4772.0,larger_later,,discount_fixed,89,25.0,141.0,"89,71",672,20.0,4000.0,,545994,0.0,,poldrack-single-stim,s558
5180.0,larger_later,,discount_fixed,89,67.0,23.0,"89,71",699,20.0,4000.0,,551177,0.0,,poldrack-single-stim,s558
5180.0,larger_later,,discount_fixed,89,77.0,161.0,"89,71",622,20.0,4000.0,,556359,0.0,,poldrack-single-stim,s558
5248.0,larger_later,,discount_fixed,89,55.0,163.0,"89,71",575,20.0,4000.0,,561609,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,40.0,159.0,"89,71",802,20.0,4000.0,,566180,0.0,,poldrack-single-stim,s558
4500.0,larger_later,,discount_fixed,89,76.0,161.0,"89,71",1148,20.0,4000.0,,570682,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,48.0,128.0,"89,71",503,20.0,4000.0,,575591,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,39.0,95.0,"89,71",543,20.0,4000.0,,580161,0.0,,poldrack-single-stim,s558
6200.0,larger_later,,discount_fixed,89,83.0,105.0,"89,71",627,20.0,4000.0,,586363,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,67.0,41.0,"89,71",672,20.0,4000.0,,591273,0.0,,poldrack-single-stim,s558
5248.0,larger_later,,discount_fixed,89,56.0,172.0,"89,71",689,20.0,4000.0,,596523,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,28.0,123.0,"89,71",569,20.0,4000.0,,601569,0.0,,poldrack-single-stim,s558
4636.0,larger_later,,discount_fixed,89,50.0,129.0,"89,71",525,20.0,4000.0,,606207,0.0,,poldrack-single-stim,s558
4704.0,larger_later,,discount_fixed,89,23.0,61.0,"89,71",868,20.0,4000.0,,610913,0.0,,poldrack-single-stim,s558
