"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"680","84","poldrack-text","26","65879","0.0-9.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","27","66559","0.0-10.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","28","67239","0.0-11.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","29","67919","0.0-12.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","30","68599","0.0-13.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","31","69279","0.0-14.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","32","69959","0.0-15.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"681","84","poldrack-text","33","70640","0.0-16.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","34","71320","0.0-17.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","35","71999","0.0-18.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","36","72679","0.0-19.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","37","73358","0.0-20.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","38","74038","0.0-21.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","39","74719","0.0-22.0","s172","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","40","75721","0.0-23.0","s172","","1000","0","fmri_buffer","","none","1000","","","","","","","","",""
"-1","-1","poldrack-single-stim","41","77223","0.0-24.0","s172","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","",""
"-1","-1","poldrack-single-stim","42","78226","0.0-25.0","s172","","500","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"563","82","poldrack-single-stim","43","80501","0.0-26.0-0.0","s172","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","0","test",""
"408","71","poldrack-single-stim","44","82503","0.0-26.0-1.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","1","test",""
"473","71","poldrack-single-stim","45","84912","0.0-26.0-2.0","s172","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","2","test",""
"545","82","poldrack-single-stim","46","86914","0.0-26.0-3.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","3","test",""
"516","71","poldrack-single-stim","47","89052","0.0-26.0-4.0","s172","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","4","test",""
"562","82","poldrack-single-stim","48","91055","0.0-26.0-5.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","5","test",""
"466","71","poldrack-single-stim","49","93056","0.0-26.0-6.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","6","test",""
"570","82","poldrack-single-stim","50","95059","0.0-26.0-7.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","7","test",""
"384","89","poldrack-single-stim","51","97334","0.0-26.0-8.0","s172","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","8","test",""
"446","71","poldrack-single-stim","52","99336","0.0-26.0-9.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","9","test",""
"562","82","poldrack-single-stim","53","101610","0.0-26.0-10.0","s172","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","10","test",""
"645","82","poldrack-single-stim","54","103885","0.0-26.0-11.0","s172","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","11","test",""
"657","71","poldrack-single-stim","55","105887","0.0-26.0-12.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","12","test",""
"514","71","poldrack-single-stim","56","108569","0.0-26.0-13.0","s172","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","13","test",""
"631","82","poldrack-single-stim","57","110572","0.0-26.0-14.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","14","test",""
"460","82","poldrack-single-stim","58","112846","0.0-26.0-15.0","s172","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","15","test",""
"425","89","poldrack-single-stim","59","114848","0.0-26.0-16.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","16","test",""
"536","71","poldrack-single-stim","60","116850","0.0-26.0-17.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","17","test",""
"389","89","poldrack-single-stim","61","119125","0.0-26.0-18.0","s172","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","18","test",""
"402","71","poldrack-single-stim","62","121263","0.0-26.0-19.0","s172","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","19","test",""
"417","82","poldrack-single-stim","63","123808","0.0-26.0-20.0","s172","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","20","test",""
"554","89","poldrack-single-stim","64","126219","0.0-26.0-21.0","s172","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","21","test",""
"435","89","poldrack-single-stim","65","128220","0.0-26.0-22.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","22","test",""
"689","89","poldrack-single-stim","66","130222","0.0-26.0-23.0","s172","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","23","test",""
