"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","problem_time","correct","exp_id"
"7247","13","text","0","7249","0.0-0.0","s608","","","","","","","","","","","","","","","","","",""
"1228","89","poldrack-text","1","9484","0.0-1.0","s608","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1228","500","fmri_response_test","","","","","","","","","","","","","",""
"712","71","poldrack-text","2","10700","0.0-2.0","s608","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","712","500","fmri_response_test","","","","","","","","","","","","","",""
"1109","82","poldrack-text","3","12313","0.0-3.0","s608","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1109","500","fmri_response_test","","","","","","","","","","","","","",""
"33577","32","poldrack-single-stim","4","46395","0.0-4.0","s608","","33577","0","instructions","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","33577","","","","","","","","","","",""
"32291","32","poldrack-text","5","78686","0.0-5.0","s608","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","32291","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"2503","84","poldrack-text","6","81190","0.0-6.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","2503","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","81869","0.0-7.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","8","82550","0.0-8.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","9","83229","0.0-9.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","10","83910","0.0-10.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","84590","0.0-11.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"1359","84","poldrack-text","12","85950","0.0-12.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1359","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"1359","84","poldrack-text","13","87309","0.0-13.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1359","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","14","87990","0.0-14.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","15","88670","0.0-15.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"681","84","poldrack-text","16","89351","0.0-16.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"677","84","poldrack-text","17","90030","0.0-17.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","677","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","18","90710","0.0-18.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"1360","84","poldrack-text","19","92070","0.0-19.0","s608","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1360","0","fmri_trigger_wait","","","","","","","","","","","","","",""
