,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,text,time_elapsed,trial_id,trial_type,worker_id
71,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",2275,20.0,,241452,,poldrack-single-stim,s061
72,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",1593,20.0,,246430,,poldrack-single-stim,s061
73,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",3041,20.0,,251408,,poldrack-single-stim,s061
74,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",1738,20.0,,256725,,poldrack-single-stim,s061
75,larger_later,,discount_fixed,89,80.0,39.0,"89,71",1406,20.0,,261227,,poldrack-single-stim,s061
76,larger_later,,discount_fixed,89,22.0,21.0,"89,71",2524,20.0,,266273,,poldrack-single-stim,s061
77,larger_later,,discount_fixed,89,52.0,139.0,"89,71",2614,20.0,,270980,,poldrack-single-stim,s061
78,larger_later,,discount_fixed,89,54.0,126.0,"89,71",1709,20.0,,275822,,poldrack-single-stim,s061
79,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",1614,20.0,,282568,,poldrack-single-stim,s061
80,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",2099,20.0,,287069,,poldrack-single-stim,s061
81,larger_later,,discount_fixed,89,36.0,140.0,"89,71",2978,20.0,,291639,,poldrack-single-stim,s061
82,larger_later,,discount_fixed,89,35.0,171.0,"89,71",2395,20.0,,296345,,poldrack-single-stim,s061
83,larger_later,,discount_fixed,89,34.0,43.0,"89,71",2303,20.0,,301255,,poldrack-single-stim,s061
84,larger_later,,discount_fixed,89,74.0,121.0,"89,71",1422,20.0,,305824,,poldrack-single-stim,s061
85,,,discount_fixed,-1,,,none,-1,,,313326,rest_block,poldrack-single-stim,s061
86,larger_later,,discount_fixed,89,45.0,107.0,"89,71",2084,20.0,,319100,,poldrack-single-stim,s061
87,larger_later,,discount_fixed,89,77.0,24.0,"89,71",2079,20.0,,323737,,poldrack-single-stim,s061
88,larger_later,,discount_fixed,89,39.0,161.0,"89,71",2698,20.0,,328306,,poldrack-single-stim,s061
89,larger_later,,discount_fixed,89,62.0,180.0,"89,71",1390,20.0,,333760,,poldrack-single-stim,s061
90,smaller_sooner,,discount_fixed,71,24.0,139.0,"89,71",1189,20.0,,339145,,poldrack-single-stim,s061
91,larger_later,,discount_fixed,89,58.0,72.0,"89,71",1656,20.0,,343714,,poldrack-single-stim,s061
92,larger_later,,discount_fixed,89,56.0,93.0,"89,71",1049,20.0,,349983,,poldrack-single-stim,s061
93,larger_later,,discount_fixed,89,45.0,26.0,"89,71",1091,20.0,,355506,,poldrack-single-stim,s061
94,larger_later,,discount_fixed,89,23.0,42.0,"89,71",1838,20.0,,360075,,poldrack-single-stim,s061
95,larger_later,,discount_fixed,89,50.0,41.0,"89,71",1617,20.0,,364712,,poldrack-single-stim,s061
96,smaller_sooner,,discount_fixed,71,25.0,176.0,"89,71",1420,20.0,,369350,,poldrack-single-stim,s061
97,larger_later,,discount_fixed,89,54.0,22.0,"89,71",1732,20.0,,374463,,poldrack-single-stim,s061
98,larger_later,,discount_fixed,89,29.0,44.0,"89,71",1531,20.0,,379781,,poldrack-single-stim,s061
99,smaller_sooner,,discount_fixed,71,24.0,89.0,"89,71",2250,20.0,,384350,,poldrack-single-stim,s061
100,smaller_sooner,,discount_fixed,71,23.0,77.0,"89,71",2299,20.0,,388920,,poldrack-single-stim,s061
101,smaller_sooner,,discount_fixed,71,27.0,130.0,"89,71",1642,20.0,,393489,,poldrack-single-stim,s061
102,smaller_sooner,,discount_fixed,71,23.0,134.0,"89,71",2084,20.0,,398332,,poldrack-single-stim,s061
103,larger_later,,discount_fixed,89,55.0,107.0,"89,71",1956,20.0,,402833,,poldrack-single-stim,s061
104,larger_later,,discount_fixed,89,44.0,143.0,"89,71",2127,20.0,,408490,,poldrack-single-stim,s061
105,smaller_sooner,,discount_fixed,71,23.0,110.0,"89,71",1433,20.0,,413401,,poldrack-single-stim,s061
106,larger_later,,discount_fixed,89,65.0,156.0,"89,71",1316,20.0,,418038,,poldrack-single-stim,s061
107,larger_later,,discount_fixed,89,22.0,27.0,"89,71",1840,20.0,,422540,,poldrack-single-stim,s061
108,larger_later,,discount_fixed,89,50.0,59.0,"89,71",1158,20.0,,427041,,poldrack-single-stim,s061
109,larger_later,,discount_fixed,89,85.0,129.0,"89,71",2432,20.0,,432154,,poldrack-single-stim,s061
110,larger_later,,discount_fixed,89,66.0,58.0,"89,71",1521,20.0,,438288,,poldrack-single-stim,s061
111,larger_later,,discount_fixed,89,49.0,172.0,"89,71",880,20.0,,443131,,poldrack-single-stim,s061
112,larger_later,,discount_fixed,89,73.0,44.0,"89,71",880,20.0,,447700,,poldrack-single-stim,s061
113,larger_later,,discount_fixed,89,58.0,73.0,"89,71",1159,20.0,,452406,,poldrack-single-stim,s061
114,larger_later,,discount_fixed,89,71.0,76.0,"89,71",710,20.0,,458267,,poldrack-single-stim,s061
115,larger_later,,discount_fixed,89,67.0,74.0,"89,71",1128,20.0,,462905,,poldrack-single-stim,s061
116,larger_later,,discount_fixed,89,29.0,58.0,"89,71",2196,20.0,,468223,,poldrack-single-stim,s061
117,larger_later,,discount_fixed,89,39.0,104.0,"89,71",2071,20.0,,473200,,poldrack-single-stim,s061
118,smaller_sooner,,discount_fixed,71,33.0,103.0,"89,71",2673,20.0,,477771,,poldrack-single-stim,s061
119,larger_later,,discount_fixed,89,33.0,78.0,"89,71",1755,20.0,,483292,,poldrack-single-stim,s061
120,larger_later,,discount_fixed,89,74.0,52.0,"89,71",996,20.0,,488881,,poldrack-single-stim,s061
121,smaller_sooner,,discount_fixed,71,28.0,132.0,"89,71",1326,20.0,,494674,,poldrack-single-stim,s061
122,larger_later,,discount_fixed,89,28.0,59.0,"89,71",1918,20.0,,499244,,poldrack-single-stim,s061
123,smaller_sooner,,discount_fixed,71,28.0,163.0,"89,71",1985,20.0,,504357,,poldrack-single-stim,s061
124,larger_later,,discount_fixed,89,32.0,74.0,"89,71",1980,20.0,,508858,,poldrack-single-stim,s061
125,larger_later,,discount_fixed,89,57.0,89.0,"89,71",1469,20.0,,513700,,poldrack-single-stim,s061
126,larger_later,,discount_fixed,89,70.0,108.0,"89,71",1360,20.0,,518269,,poldrack-single-stim,s061
127,larger_later,,discount_fixed,89,72.0,95.0,"89,71",982,20.0,,523654,,poldrack-single-stim,s061
128,larger_later,,discount_fixed,89,30.0,36.0,"89,71",1535,20.0,,528700,,poldrack-single-stim,s061
129,larger_later,,discount_fixed,89,41.0,129.0,"89,71",1736,20.0,,533405,,poldrack-single-stim,s061
130,larger_later,,discount_fixed,89,78.0,129.0,"89,71",1678,20.0,,538316,,poldrack-single-stim,s061
131,larger_later,,discount_fixed,89,71.0,88.0,"89,71",1094,20.0,,543227,,poldrack-single-stim,s061
132,larger_later,,discount_fixed,89,65.0,159.0,"89,71",1931,20.0,,548070,,poldrack-single-stim,s061
133,smaller_sooner,,discount_fixed,71,24.0,125.0,"89,71",1553,20.0,,553183,,poldrack-single-stim,s061
134,larger_later,,discount_fixed,89,58.0,36.0,"89,71",1648,20.0,,558296,,poldrack-single-stim,s061
135,larger_later,,discount_fixed,89,63.0,37.0,"89,71",1175,20.0,,563003,,poldrack-single-stim,s061
136,larger_later,,discount_fixed,89,75.0,41.0,"89,71",1634,20.0,,567844,,poldrack-single-stim,s061
137,larger_later,,discount_fixed,89,45.0,72.0,"89,71",1439,20.0,,572686,,poldrack-single-stim,s061
138,smaller_sooner,,discount_fixed,71,25.0,74.0,"89,71",1995,20.0,,579567,,poldrack-single-stim,s061
139,larger_later,,discount_fixed,89,65.0,137.0,"89,71",1046,20.0,,584137,,poldrack-single-stim,s061
140,larger_later,,discount_fixed,89,49.0,140.0,"89,71",1037,20.0,,588911,,poldrack-single-stim,s061
141,larger_later,,discount_fixed,89,67.0,103.0,"89,71",1508,20.0,,595928,,poldrack-single-stim,s061
142,larger_later,,discount_fixed,89,69.0,172.0,"89,71",1003,20.0,,600634,,poldrack-single-stim,s061
143,larger_later,,discount_fixed,89,66.0,71.0,"89,71",1376,20.0,,605815,,poldrack-single-stim,s061
144,larger_later,,discount_fixed,89,71.0,176.0,"89,71",1970,20.0,,610860,,poldrack-single-stim,s061
4,,practice,discount_fixed,71,,,"89,71",1194,,,-42340,stim,poldrack-single-stim,s445
24,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",1299,20.0,,8324,,poldrack-single-stim,s445
25,larger_later,,discount_fixed,89,43.0,19.0,"89,71",1700,20.0,,12894,,poldrack-single-stim,s445
26,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1471,20.0,,17531,,poldrack-single-stim,s445
27,larger_later,,discount_fixed,89,27.0,142.0,"89,71",1667,20.0,,22440,,poldrack-single-stim,s445
28,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",1726,20.0,,26943,,poldrack-single-stim,s445
29,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",1254,20.0,,31921,,poldrack-single-stim,s445
30,smaller_sooner,,discount_fixed,71,41.0,27.0,"89,71",2543,20.0,,36831,,poldrack-single-stim,s445
31,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",1668,20.0,,41401,,poldrack-single-stim,s445
32,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",2036,20.0,,45903,,poldrack-single-stim,s445
33,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",1305,20.0,,52104,,poldrack-single-stim,s445
34,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",1322,20.0,,56810,,poldrack-single-stim,s445
35,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",1633,20.0,,61856,,poldrack-single-stim,s445
36,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",1240,20.0,,66901,,poldrack-single-stim,s445
37,smaller_sooner,,discount_fixed,71,58.0,55.0,"89,71",1837,20.0,,72082,,poldrack-single-stim,s445
38,larger_later,,discount_fixed,89,81.0,58.0,"89,71",1945,20.0,,77061,,poldrack-single-stim,s445
39,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",1359,20.0,,81835,,poldrack-single-stim,s445
40,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",1295,20.0,,86608,,poldrack-single-stim,s445
41,larger_later,,discount_fixed,89,67.0,23.0,"89,71",1724,20.0,,91790,,poldrack-single-stim,s445
42,smaller_sooner,,discount_fixed,71,77.0,161.0,"89,71",1023,20.0,,96971,,poldrack-single-stim,s445
43,smaller_sooner,,discount_fixed,71,55.0,163.0,"89,71",949,20.0,,102221,,poldrack-single-stim,s445
