,Unnamed: 0,Unnamed: 0.1,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
31,31,152,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1100.0,orange,7.0,magnitude,switch,,47463,stim,15.0,poldrack-single-stim,s061
32,32,155,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",1123.0,orange,3.0,magnitude,stay,,49841,stim,16.0,poldrack-single-stim,s061
33,33,158,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",1057.0,orange,9.0,color,switch,,51948,stim,17.0,poldrack-single-stim,s061
34,34,161,900.0,False,71.0,High-Low,,test,twobytwo,89.0,"89,71",820.0,orange,3.0,magnitude,switch,,54856,stim,18.0,poldrack-single-stim,s061
35,35,164,100.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",1172.0,orange,9.0,magnitude,stay,,57240,stim,19.0,poldrack-single-stim,s061
36,36,167,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",581.0,#1F45FC,2.0,color,switch,,60281,stim,20.0,poldrack-single-stim,s061
37,37,170,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",783.0,orange,9.0,magnitude,switch,,63188,stim,21.0,poldrack-single-stim,s061
38,38,173,900.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",793.0,#1F45FC,7.0,magnitude,stay,,66096,stim,22.0,poldrack-single-stim,s061
39,39,176,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",1128.0,#1F45FC,7.0,color,switch,,68203,stim,23.0,poldrack-single-stim,s061
40,40,179,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",856.0,orange,4.0,color,stay,,70310,stim,24.0,poldrack-single-stim,s061
41,41,182,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",576.0,orange,2.0,color,stay,,73218,stim,25.0,poldrack-single-stim,s061
