,Unnamed: 0,Unnamed: 0.1,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
46,46,174,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",569,,162925,probe,36.0,poldrack-single-stim,s061
47,47,177,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",769,,167476,probe,37.0,poldrack-single-stim,s061
48,48,180,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",657,,173929,probe,38.0,poldrack-single-stim,s061
49,49,183,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",718,,178071,probe,39.0,poldrack-single-stim,s061
50,50,184,,,,,dot_pattern_expectancy,-1.0,none,-1,,185574,rest_block,,poldrack-single-stim,s061
51,51,188,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",685,,192719,probe,0.0,poldrack-single-stim,s061
52,52,191,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",576,,196860,probe,1.0,poldrack-single-stim,s061
53,53,194,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",613,,200867,probe,2.0,poldrack-single-stim,s061
54,54,197,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",692,,204874,probe,3.0,poldrack-single-stim,s061
55,55,200,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",599,,209289,probe,4.0,poldrack-single-stim,s061
56,56,203,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",338,,213431,probe,5.0,poldrack-single-stim,s061
57,57,206,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",523,,217980,probe,6.0,poldrack-single-stim,s061
58,58,209,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",501,,222257,probe,7.0,poldrack-single-stim,s061
59,59,212,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",707,,226263,probe,8.0,poldrack-single-stim,s061
60,60,215,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",679,,230948,probe,9.0,poldrack-single-stim,s061
61,61,218,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",499,,234955,probe,10.0,poldrack-single-stim,s061
62,62,221,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",659,,241137,probe,11.0,poldrack-single-stim,s061
63,63,224,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",463,,245278,probe,12.0,poldrack-single-stim,s061
64,64,227,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",632,,249419,probe,13.0,poldrack-single-stim,s061
65,65,230,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",376,,253425,probe,14.0,poldrack-single-stim,s061
66,66,233,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",522,,257839,probe,15.0,poldrack-single-stim,s061
67,67,236,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",496,,261980,probe,16.0,poldrack-single-stim,s061
68,68,239,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",362,,265985,probe,17.0,poldrack-single-stim,s061
69,69,242,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",531,,270399,probe,18.0,poldrack-single-stim,s061
70,70,245,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",505,,275085,probe,19.0,poldrack-single-stim,s061
71,71,248,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",440,,279362,probe,20.0,poldrack-single-stim,s061
72,72,251,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",548,,283369,probe,21.0,poldrack-single-stim,s061
73,73,254,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",467,,287375,probe,22.0,poldrack-single-stim,s061
74,74,257,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",602,,291926,probe,23.0,poldrack-single-stim,s061
75,75,260,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",869,,297291,probe,24.0,poldrack-single-stim,s061
76,76,263,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",533,,301298,probe,25.0,poldrack-single-stim,s061
77,77,266,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",443,,305575,probe,26.0,poldrack-single-stim,s061
78,78,269,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",511,,309854,probe,27.0,poldrack-single-stim,s061
79,79,272,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",499,,315218,probe,28.0,poldrack-single-stim,s061
80,80,275,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",525,,319495,probe,29.0,poldrack-single-stim,s061
81,81,278,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",567,,323637,probe,30.0,poldrack-single-stim,s061
82,82,281,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",521,,328594,probe,31.0,poldrack-single-stim,s061
83,83,284,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",544,,332734,probe,32.0,poldrack-single-stim,s061
84,84,287,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",369,,336740,probe,33.0,poldrack-single-stim,s061
85,85,290,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",500,,340882,probe,34.0,poldrack-single-stim,s061
