"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","exp_stage","problem_time","correct","exp_id"
"2103","13","text","0","2105","0.0-0.0","636","","","","","","","","","","","","","","","","","",""
"9009","89","poldrack-text","1","12115","0.0-1.0","636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","9009","500","fmri_response_test","","","","","","","","","","","","","",""
"832","71","poldrack-text","2","13448","0.0-2.0","636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","832","500","fmri_response_test","","","","","","","","","","","","","",""
"676","82","poldrack-text","3","14625","0.0-3.0","636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","676","500","fmri_response_test","","","","","","","","","","","","","",""
"24874","32","poldrack-single-stim","4","40001","0.0-4.0","636","","24874","0","instructions","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","24874","","","","","","","","","","",""
"25088","32","poldrack-text","5","65090","0.0-5.0","636","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","25088","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1219","84","poldrack-text","6","66309","0.0-6.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1219","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","66989","0.0-7.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","8","67669","0.0-8.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","9","68350","0.0-9.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","10","69029","0.0-10.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","69709","0.0-11.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","12","70389","0.0-12.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","13","71069","0.0-13.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","14","71749","0.0-14.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","15","72429","0.0-15.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","16","73109","0.0-16.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","17","73789","0.0-17.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","18","74469","0.0-18.0","636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
