rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,condition,stim_color,stim_word,trial_num,exp_stage,exp_id
345,82,poldrack-single-stim,85,175471,0.0-26.0-42.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,42,test,
494,89,poldrack-single-stim,86,177472,0.0-26.0-43.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,43,test,
420,71,poldrack-single-stim,87,179475,0.0-26.0-44.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,44,test,
851,89,poldrack-single-stim,88,181476,0.0-26.0-45.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,45,test,
800,71,poldrack-single-stim,89,183478,0.0-26.0-46.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,46,test,
504,71,poldrack-single-stim,90,185481,0.0-26.0-47.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,47,test,
473,71,poldrack-single-stim,91,187754,0.0-26.0-48.0,s512,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,48,test,
515,71,poldrack-single-stim,92,189755,0.0-26.0-49.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,49,test,
597,89,poldrack-single-stim,93,192165,0.0-26.0-50.0,s512,,2408,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,50,test,
474,82,poldrack-single-stim,94,194166,0.0-26.0-51.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,51,test,
576,71,poldrack-single-stim,95,196304,0.0-26.0-52.0,s512,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,52,test,
527,82,poldrack-single-stim,96,198307,0.0-26.0-53.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,53,test,
539,71,poldrack-single-stim,97,200309,0.0-26.0-54.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,54,test,
545,82,poldrack-single-stim,98,202311,0.0-26.0-55.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,55,test,
579,71,poldrack-single-stim,99,204585,0.0-26.0-56.0,s512,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,56,test,
431,71,poldrack-single-stim,100,206587,0.0-26.0-57.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,57,test,
515,82,poldrack-single-stim,101,208861,0.0-26.0-58.0,s512,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,58,test,
554,82,poldrack-single-stim,102,211135,0.0-26.0-59.0,s512,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,59,test,
651,89,poldrack-single-stim,103,213136,0.0-26.0-60.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,60,test,
604,71,poldrack-single-stim,104,215818,0.0-26.0-61.0,s512,,2680,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,61,test,
413,82,poldrack-single-stim,105,217819,0.0-26.0-62.0,s512,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,62,test,
