"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","exp_stage","problem_time","correct"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1253","89","1253","500","fmri_response_test","poldrack-text","0","1256","0.0-0.0","ward_and_allport","1108","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","763","71","763","500","fmri_response_test","poldrack-text","1","2525","0.0-1.0","ward_and_allport","1788,2467","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1665","82","1665","500","fmri_response_test","poldrack-text","2","4696","0.0-2.0","ward_and_allport","3148,3827,4508","","","","","","","","","","","","",""
"","32295","32","32295","0","instructions","poldrack-single-stim","3","37493","0.0-3.0","ward_and_allport","5187,5868,6548,7228,7908,8589","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","32295","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","23082","32","23082","0","fmri_scanner_wait","poldrack-text","4","60576","0.0-4.0","ward_and_allport","42953,44805,45871,45903,46170,52343","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1000","84","1000","0","fmri_trigger_wait","poldrack-text","5","61577","0.0-5.0","ward_and_allport","","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","6","62256","0.0-6.0","ward_and_allport","61577","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","7","62937","0.0-7.0","ward_and_allport","62256","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","8","63616","0.0-8.0","ward_and_allport","62937","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","9","64296","0.0-9.0","ward_and_allport","63617","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","10","64976","0.0-10.0","ward_and_allport","64297","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","11","65657","0.0-11.0","ward_and_allport","64977","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","12","66336","0.0-12.0","ward_and_allport","65658","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","13","67015","0.0-13.0","ward_and_allport","66336","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","14","67696","0.0-14.0","ward_and_allport","67016","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","15","68376","0.0-15.0","ward_and_allport","67696","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","16","69056","0.0-16.0","ward_and_allport","68376","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","17","69735","0.0-17.0","ward_and_allport","69056","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","18","70416","0.0-18.0","ward_and_allport","69736","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","19","71096","0.0-19.0","ward_and_allport","70416","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","20","71775","0.0-20.0","ward_and_allport","71097","","","","","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","21","72779","0.0-21.0","ward_and_allport","71776,72456","","none","1000","","","","","","","","","",""
