,0,1,2,3,4,5,6,7,8
s130,-1.5711301117567866,-0.2647006044912542,-1.0175666118096536,-0.48312389157536656,0.6198752394533834,-0.19017191310244816,0.1658538599676353,-0.08925751302582267,-0.516668205531968
s172,-2.0130018115383232,-0.13706473590180687,0.8605886782987008,0.6100481895928853,1.1253556538467038,-0.3213170692949795,0.3042046770445188,0.2990155467781076,0.0533180882348228
s192,-0.14161281359451294,0.5779934351525937,-0.7778436210277141,-0.5685087079702307,-0.6867795316702491,1.260562427674158,0.5893077443575572,-0.28416657786628735,-0.29413591029652775
s234,1.77902410889574,-1.675649076884421,-0.9608245444113175,0.43342780051004026,-0.1943578910743819,0.12443094210168447,0.12889125192834616,-0.6887531037498519,-1.0274301187669832
s251,-0.0019365914156054594,0.0020239579546072898,-0.5689763796081835,0.4767748587070154,-0.44761516918473726,0.3745668188398554,1.3246981376085403,0.29674217648481827,-0.6874558337364933
s358,-1.4968687525143967,-0.4002475542387829,0.08973336641886583,0.9575221684255828,-1.183845009570164,-0.20002391884253526,-0.8616192067183617,-0.11670318932639723,-0.8158588997821511
s373,-2.8274190478703707,0.0505890582842358,0.2334939997175548,0.6871294614997134,0.9338506554490803,-0.001157081764736575,0.30389472477171703,-0.1734380186555854,0.09952468754681472
s445,2.708575496994736,2.3521441476171066,0.046241843792858915,-0.6555655402052444,0.8079645701868963,0.6992432954693776,1.1810505774562237,-0.40286606080469817,1.0202239039358596
s465,-0.22574732110886406,0.18346527533402165,-0.3310835927235836,-1.8677952597651502,-1.109673950047757,-1.1000902707515228,0.7240753547700949,0.875538521858376,-0.21953835638352986
s471,-0.20526524009743902,-0.27837421647139465,-0.06077278863642065,0.047717596188532045,-0.42699064982664314,0.9646399625668816,-1.2603640465113186,0.8031568069753364,-0.2473815540891257
s483,-1.3868109622695977,0.6085436429589951,0.10574347182994928,0.489877140750088,0.9215868763660315,0.21367797297981728,-0.43123711783704427,0.08163688316127081,-0.6480107796839214
s495,-1.5247210040635502,0.6887063414757647,0.34895471289712926,1.3054214514501246,1.1211272968996362,0.16479327398513696,-1.2940021076571526,-0.5749090601580465,-0.7289444700166923
s497,-0.8048011469241905,0.5067901138078791,-0.8169457006822247,0.19055905264837167,-0.043541325154937326,0.5995640459241296,-0.29013147049498117,0.536438390330505,0.18269778232006212
s512,1.7012358916426034,0.3866556186358456,-1.628558306149437,-0.367506124072013,-1.48205435131799,-1.1937190559000121,-1.050400877247484,-1.3157698073729553,1.2008694862004972
s513,0.8089919364837687,0.41111868836642507,2.1964580637782194,0.8089205424049787,2.4250096654635764,-1.8677961264025424,-0.4001390388358872,-0.5695135060173055,-0.1630662463903501
