,ANT_acc,discountFix_acc,DPX_acc,motorSelectiveStop_acc,stopSignal_acc,twoByTwo_acc,stroop_acc,WATT_acc,CCTHot_acc
s130,-0.07079904700289749,0.8112847451573572,0.5147477672049108,1.1564559888571746,0.8561084401283134,0.32978794364975395,0.5202858179902091,0.9163165486157527,0.5591346821663715
s172,0.9294786119629231,-0.7923739715908774,0.30926251699746865,1.1564559888571746,0.8561084401283134,1.0954089184440103,0.8625041818591063,-0.15015366100350253,1.0554977995417323
s192,-0.07079904700289749,0.7541753437723406,0.11791155700235556,-0.21998548028659703,0.8561084401283134,0.24558039570999224,-0.9183149866982059,0.6446167580997099,-1.0814125631119234
s234,-0.8308775589364197,0.8799273720196915,-0.060194904676899995,-1.0796674767167835,-0.3216318392444651,-1.4988340120089205,-1.3503016230262617,0.11132125377972762,1.3652993254608536
s251,0.9294786119629231,0.4924601211299524,-0.5231992622709168,-0.21998548028659703,0.5222666938231969,-0.14118795164432404,-0.9183149866982059,0.7800516824100339,0.18475484663943015
s358,0.9294786119629231,0.1787111794907469,1.2257264388931743,-1.0450560162999434,0.8561084401283134,-0.06822270808368357,1.2420312607237218,0.3762653454149275,0.5259636299451464
s373,0.9294786119629231,-0.4475111760963834,0.9719505095101988,1.1564559888571746,1.21954746887173,1.666547449341168,0.8625041818591063,0.51001888617842,0.9554874259801261
s445,-1.1385725125853605,-1.3735669031163353,-1.7138737794147167,0.32653912567108073,-1.3060955679169555,0.1637308713472882,-2.1820043635472612,0.3762653454149275,-2.044068848325098
s465,0.9294786119629231,1.3300343502583913,-0.22589590047266872,1.1564559888571746,-0.3216318392444651,-1.183624486773866,0.5202858179902091,0.11132125377972762,-1.286342347576175
s471,-0.47710214766797915,0.5550874958797228,-0.22589590047266872,-1.0450560162999434,0.8561084401283134,0.24558039570999224,0.8625041818591063,-0.5357181861656709,-0.1736812105282793
s483,-0.07079904700289749,-0.7548563042036898,0.11791155700235556,0.3942000022710878,1.21954746887173,0.6913541398893711,0.8625041818591063,0.6446167580997099,0.4282894219897549
s495,-0.47710214766797915,-1.5464968199409193,0.7353105723455459,-0.21998548028659703,1.21954746887173,0.8878196855413919,1.2420312607237218,0.7800516824100339,0.9002188948123024
s497,-0.07079904700289749,0.5134969839302004,-0.22589590047266872,-0.20588274815962787,0.5222666938231969,0.9901914468774361,0.5202858179902091,0.6388720863759461,-0.28415335132761244
s512,-1.1385725125853605,0.8255070539347761,0.9719505095101988,-1.0796674767167835,-2.681120253864831,-0.7097196925614147,-0.06527124266747343,0.9163165486157527,-1.0511498013459164
s513,-0.47710214766797915,-3.2325450789888945,-0.3799822953706613,1.1564559888571746,-0.966338785323287,-0.7097196925614147,0.5202858179902091,-0.6624324893772141,1.369989328333725
s518,0.39531859740044956,-0.29539867350140003,1.2257264388931743,0.3942000022710878,1.21954746887173,0.5055060189990622,0.8625041818591063,0.6328792628853902,-0.6913707669326878
s519,0.9294786119629231,1.3300343502583913,1.4977596108809326,1.1564559888571746,0.8561084401283134,0.9901914468774361,0.8625041818591063,0.36492129001713675,1.903080186564192
s524,-2.4055234270386032,1.3071668839133392,-2.196099951082835,-0.45182499161498907,0.5222666938231969,0.8878196855413919,-2.0157910583564305,0.6446167580997099,0.9109125924032245
