record_id,age,sex
1,27,0
2,19,1
3,20,0
4,21,0
5,22,0
6,18,1
7,18,0
8,24,0
9,20,0
10,27,0
11,27,0
12,24,0
13,26,0
14,33,1
15,26,1
16,21,0
17,19,1
18,25,1
19,21,0
20,23,1
21,34,1
22,27,1
23,21,0
24,20,1
25,32,0
26,30,1
27,31,0
28,19,0
29,24,0
30,19,0
31,20,1
32,21,0
33,31,1
34,19,0
35,18,0
36,29,1
37,20,1
38,25,1
39,21,1
40,25,1
41,20,1
42,18,0
43,23,1
44,21,0
45,23,0
46,20,0
47,20,0
48,28,0
49,20,0
50,26,0
51,27,0
52,34,1
53,20,0
54,24,0
55,31,0
56,25,0
57,19,0
58,19,0
59,22,0
60,37,1
61,41,1
62,21,0
63,25,
64,22,0
65,33,0
66,29,1
67,22,1
68,26,1
69,20,1
70,32,1
71,18,1
72,20,0
73,20,1
74,19,0
75,23,0
76,21,0
77,21,1
78,18,1
79,23,1
80,21,1
81,29,0
82,28,0
83,41,1
84,30,1
85,20,1
86,23,1
87,25,0
88,20,0
89,20,1
90,24,0
91,19,1
92,25,1
93,28,0
94,0,
95,20,0
96,20,0
97,18,0
98,33,1
99,25,0
100,24,0
101,31,1
102,23,1
103,19,0
104,0,1
105,20,1
106,19,0
107,19,0
108,20,1
109,19,0
110,19,0
111,20,1
112,20,1
113,20,0
114,,
115,18,0
116,18,0
117,19,0
118,22,0
119,18,1
120,21,0
121,26,1
122,32,0
123,18,0
124,32,0
125,23,0
126,21,0
127,21,0
128,23,0
129,18,0
130,27,0
131,18,1
132,21,0
133,18,0
134,20,0
135,22,0
136,19,0
137,20,0
138,58,1
139,58,0
140,21,1
141,26,1
142,24,0
143,19,1
144,19,0
145,21,1
146,22,1
147,23,0
148,22,1
149,24,1
150,23,0
151,18,0
152,18,1
153,22,1
154,20,1
155,23,1
156,21,1
157,22,0
158,19,0
159,18,1
160,18,1
161,20,0
162,20,0
163,22,1
164,19,0
165,18,0
166,21,0
167,19,0
168,19,0
169,19,1
170,25,0
171,35,0
172,19,0
173,20,0
174,20,0
175,23,0
176,23,1
177,19,0
178,21,0
179,31,0
180,19,0
181,20,1
182,19,0
183,19,1
184,22,0
185,21,0
186,22,1
187,20,0
188,23,0
189,23,1
190,18,1
191,19,0
192,18,0
193,22,0
194,19,1
195,24,1
196,21,0
197,24,0
198,21,0
199,21,0
200,24,0
201,22,1
202,20,0
203,26,1
204,20,0
205,26,1
206,26,0
207,19,0
208,22,0
209,22,1
210,19,1
211,26,0
212,18,1
213,21,1
214,66,0
215,22,0
216,74,1
217,32,0
218,33,0
219,23,0
220,19,1
221,49,1
222,21,0
223,22,1
224,19,1
225,21,0
226,22,1
227,21,1
228,19,0
229,22,0
230,18,0
231,62,0
232,43,1
233,19,0
234,19,1
235,20,0
236,22,0
237,21,0
238,22,0
239,18,1
240,28,1
241,71,0
242,18,0
243,22,0
244,20,0
245,20,1
246,20,0
247,18,1
248,29,0
249,19,1
250,23,0
251,18,0
252,21,1
253,23,1
254,19,1
255,21,0
256,21,0
257,20,0
258,19,0
259,18,0
260,21,0
261,28,1
262,19,0
263,22,1
264,21,0
265,23,0
266,25,0
267,19,1
268,20,0
269,19,1
270,21,1
271,19,0
272,19,0
273,20,0
274,24,0
275,20,1
276,20,0
277,19,0
278,18,0
279,22,0
280,19,1
281,28,1
282,20,0
283,20,0
284,20,0
285,19,1
286,0,
287,18,1
288,26,1
289,27,0
290,25,0
291,34,1
292,25,1
293,18,0
294,19,1
295,20,0
296,20,0
297,19,1
298,20,0
299,31,0
300,29,1
301,23,1
302,22,0
303,19,0
304,18,0
305,27,0
306,19,1
307,32,0
308,20,0
309,34,1
310,22,1
311,21,0
312,27,1
313,21,1
314,20,0
315,22,0
316,20,0
317,21,1
318,22,1
319,32,0
320,22,0
321,19,0
322,43,0
323,20,0
324,30,1
325,19,0
326,23,0
327,19,0
328,21,0
329,21,0
330,19,1
331,21,
332,21,0
333,21,0
334,21,0
335,19,1
336,19,0
337,21,0
338,18,1
339,20,0
340,29,0
341,20,0
342,22,1
343,22,1
344,62,1
345,23,1
346,22,1
347,19,1
348,20,0
349,23,0
350,22,1
351,20,0
352,20,0
353,20,0
354,22,1
355,22,1
356,24,0
357,24,0
358,25,0
359,27,0
360,35,0
361,32,0
362,20,1
363,20,1
364,26,0
365,27,0
366,19,0
367,20,1
368,33,0
369,24,
370,18,1
371,29,1
372,31,0
373,31,0
374,19,0
375,25,0
376,56,0
377,35,0
378,56,0
379,31,0
380,21,1
381,23,0
382,37,1
383,37,0
384,20,0
385,31,0
386,26,0
387,29,1
388,26,1
389,23,1
390,21,1
391,30,0
392,33,1
393,22,0
394,27,0
395,19,1
396,20,0
397,23,0
398,26,0
399,18,0
400,18,0
401,18,0
402,27,1
403,21,0
404,21,1
405,22,0
406,36,0
407,19,
408,18,0
409,44,1
410,42,0
411,20,0
412,18,1
413,23,1
414,21,0
415,18,0
416,18,0
417,19,0
418,21,0
419,20,1
420,18,0
421,22,1
422,18,0
423,19,0
424,54,1
425,19,0
426,18,0
427,18,1
428,22,0
429,26,0
430,18,0
431,26,0
432,18,0
433,19,0
434,18,0
435,19,0
436,19,0
437,18,0
438,19,0
439,19,0
440,20,0
441,19,0
442,21,0
443,21,1
444,18,0
445,21,0
446,19,1
447,28,0
448,18,0
449,18,0
450,21,0
451,19,0
452,41,1
453,24,1
454,19,0
455,18,1
456,19,1
457,19,1
458,26,1
459,18,1
460,19,0
461,18,0
462,19,1
463,19,1
464,35,0
465,23,1
466,28,1
467,21,0
468,19,0
469,18,0
470,20,0
471,22,1
472,23,1
473,18,1
474,18,1
475,18,0
476,19,0
477,19,0
478,26,0
479,19,0
480,29,0
481,19,1
482,21,1
483,20,0
484,19,1
485,19,1
486,19,0
487,18,0
488,23,0
489,18,0
490,27,0
491,23,0
492,18,1
493,29,1
494,29,1
495,23,1
496,21,1
497,29,0
498,20,1
499,22,0
500,26,0
501,20,1
502,29,0
503,24,
504,19,1
505,22,0
506,19,0
507,20,0
508,22,0
509,29,1
511,21,0
512,23,0
513,25,0
514,19,0
515,22,0
516,30,1
517,18,1
518,19,0
519,23,1
520,19,0
521,29,0
522,24,1
523,19,0
524,23,0
525,18,0
526,28,0
527,21,0
528,18,
529,19,0
530,20,0
531,19,0
532,19,0
533,20,0
534,18,0
535,30,0
536,25,0
537,27,1
538,18,1
539,25,1
540,24,0
541,21,0
542,18,1
543,77,1
544,21,0
545,24,0
546,18,1
547,37,1
548,24,1
549,40,0
550,22,1
551,25,0
552,21,1
553,30,0
554,23,0
555,34,0
556,30,1
557,18,0
558,23,0
559,20,1
560,18,1
561,23,1
562,27,1
563,46,0
564,21,0
565,19,0
566,23,0
567,38,0
568,18,0
569,29,0
570,18,1
571,23,0
572,22,0
573,28,0
574,22,1
575,19,0
576,40,0
577,19,1
578,21,0
579,19,0
580,20,0
581,18,0
582,23,0
583,30,0
584,18,0
585,33,0
586,27,1
587,19,0
588,23,0
589,28,1
590,19,0
591,21,0
592,20,1
593,24,0
594,19,1
595,20,0
596,39,0
597,19,0
598,24,0
599,19,0
600,28,1
601,33,1
602,23,0
603,20,1
604,23,1
605,19,0
606,24,1
607,23,0
608,28,1
609,21,1
610,19,0
611,20,0
612,20,0
613,29,1
614,23,0
615,21,0
616,27,0
617,19,0
618,24,1
619,26,1
620,34,1
621,24,0
622,22,0
623,26,0
624,21,
625,34,1
626,22,1
627,29,1
628,26,1
629,20,1
630,18,0
631,23,1
632,18,1
633,38,0
634,25,1
635,27,0
636,21,0
637,19,0
638,22,0
639,20,0
640,26,0
641,23,0
642,18,0
643,31,1
644,18,1
645,19,1
646,22,1
647,24,0
648,30,0
649,22,0
650,45,1
651,28,1
652,22,0
653,50,1
654,18,1
655,20,1
656,26,0
657,20,0
658,18,0
659,25,
660,41,0
661,27,0
662,20,0
663,20,1
664,19,0
665,22,1
666,40,0
667,22,0
668,24,1
669,31,1
670,29,1
671,20,1
672,20,0
673,20,0
674,21,1
675,20,1
676,19,0
677,23,0
678,20,0
679,19,0
680,21,0
681,25,1
682,21,1
683,21,0
684,21,0
685,19,0
686,18,0
687,24,1
688,19,1
689,19,0
690,18,0
691,19,0
692,19,0
693,18,0
694,18,0
695,18,0
696,22,0
697,21,1
698,21,0
699,22,0
700,19,1
701,24,0
702,19,1
703,26,0
704,31,1
705,21,0
706,21,0
707,62,0
708,19,0
709,20,0
710,33,1
711,28,1
712,24,0
713,19,0
714,39,0
715,28,0
716,19,0
717,18,0
718,27,0
719,25,0
720,19,0
721,24,0
722,19,0
723,19,0
724,18,1
725,20,1
726,25,1
727,23,1
728,23,1
729,23,0
730,21,1
731,32,1
732,18,0
733,19,0
734,21,0
735,20,0
736,19,1
737,20,1
738,20,0
739,34,0
740,21,0
741,19,1
742,25,0
743,20,1
744,20,1
745,19,0
746,23,1
747,19,0
748,19,0
749,18,0
750,20,0
751,18,0
752,19,
753,18,1
754,19,0
755,30,0
756,20,0
757,19,0
758,30,
759,41,1
