"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","cue","stim_color","stim_number","task","task_switch","cue_switch","trial_num","correct","correct_response","feedback_duration","exp_id"
"22105","13","text","0","22107","0.0-0.0","s548","","","","","","","","","","","","","","","","","","","",""
"1505","89","poldrack-text","1","24616","0.0-1.0","s548","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1505","500","fmri_response_test","","","","","","","","","","","","","","","",""
"583","71","poldrack-text","2","25701","0.0-2.0","s548","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","583","500","fmri_response_test","","","","","","","","","","","","","","","",""
"8097","","survey-text","3","34304","0.0-3.0","s548","","","","task_setup","{""Q0"":""2"",""Q1"":""1""}","","","","","","","","","","","","","","",""
"20283","32","poldrack-single-stim","4","55592","0.0-4.0","s548","","20283","0","instructions","","<div class = centerbox><div class = center-text style=""font-size:40px""><strong>Color</strong> or <strong>Orange-Blue</strong>: Middle Finger if orange and Index Finger if blue.<br><br><strong>Magnitude</strong> or <strong>High-Low</strong>: Index Finger if >5 and Middle Finger if <5.</div></div>","32","20283","","","","","","","","","","","",""
"","","call-function","5","55592","0.0-5.0-0.0","s548","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","6","56095","0.0-5.0-1.0","s548","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","56998","0.0-5.0-2.0","s548","","900","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","900","practice","Magnitude","#1F45FC","1","magnitude","switch","stay","0","","","",""
"917","71","poldrack-categorize","8","59504","0.0-5.0-3.0","s548","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:#1F45FC;>1</div>","89,71","1000","practice","Magnitude","#1F45FC","1","magnitude","switch","stay","0","true","71","500",""
"-1","-1","poldrack-single-stim","9","60007","0.0-5.0-4.0","s548","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","10","60008","0.0-5.0-5.0","s548","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","11","60509","0.0-5.0-6.0","s548","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","12","60611","0.0-5.0-7.0","s548","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Magnitude","orange","9","magnitude","stay","stay","1","","","",""
"756","89","poldrack-categorize","13","63114","0.0-5.0-8.0","s548","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Magnitude</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>9</div>","89,71","1000","practice","Magnitude","orange","9","magnitude","stay","stay","1","true","89","500",""
"-1","-1","poldrack-single-stim","14","63617","0.0-5.0-9.0","s548","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","15","63617","0.0-5.0-10.0","s548","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","16","64119","0.0-5.0-11.0","s548","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","17","64221","0.0-5.0-12.0","s548","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","High-Low","orange","9","magnitude","stay","switch","2","","","",""
"1153","71","poldrack-categorize","18","66725","0.0-5.0-13.0","s548","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >High-Low</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>9</div>","89,71","1000","practice","High-Low","orange","9","magnitude","stay","switch","2","false","89","500",""
"-1","-1","poldrack-single-stim","19","67227","0.0-5.0-14.0","s548","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","20","67227","0.0-5.0-15.0","s548","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","21","67730","0.0-5.0-16.0","s548","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","67832","0.0-5.0-17.0","s548","","100","0","cue","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","100","practice","Orange-Blue","orange","4","color","switch","switch","3","","","",""
"944","71","poldrack-categorize","23","70335","0.0-5.0-18.0","s548","","2000","0","stim","","<div class = upperbox><div class = ""center-text"" >Orange-Blue</div></div><div class = lowerbox><div class = ""stim-text"" style=color:orange;>4</div>","89,71","1000","practice","Orange-Blue","orange","4","color","switch","switch","3","true","71","500",""
"-1","-1","poldrack-single-stim","24","70838","0.0-5.0-19.0","s548","","500","0","gap",""," ","none","500","practice","","","","","","","","","","",""
"","","call-function","25","70838","0.0-5.0-20.0","s548","","","","set_stims","","","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","71341","0.0-5.0-21.0","s548","","500","0","fixation","","<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","","","",""
