"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"2157","13","text","0","2159","0.0-0.0","s577","","","","","","","","","","","","","","","",""
"2448","89","poldrack-text","1","5613","0.0-1.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2448","500","fmri_response_test","","","","","","","","","","","",""
"1232","71","poldrack-text","2","7352","0.0-2.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1232","500","fmri_response_test","","","","","","","","","","","",""
"844","82","poldrack-text","3","8701","0.0-3.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","844","500","fmri_response_test","","","","","","","","","","","",""
"19264","32","poldrack-single-stim","4","28467","0.0-4.0","s577","","19264","500","instructions","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","19264","","","","","","","","",""
"1238","71","poldrack-categorize","5","30973","0.0-5.0-0.0-0.0","s577","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","false","89","500","incongruent","red","blue","1","practice",""
"-1","-1","poldrack-single-stim","6","31230","0.0-5.0-1.0","s577","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"992","89","poldrack-categorize","7","33235","0.0-5.0-2.0-0.0","s577","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","2","practice",""
"-1","-1","poldrack-single-stim","8","33491","0.0-5.0-3.0","s577","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"667","89","poldrack-categorize","9","35496","0.0-5.0-4.0-0.0","s577","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","3","practice",""
"-1","-1","poldrack-single-stim","10","35752","0.0-5.0-5.0","s577","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"604","82","poldrack-categorize","11","37757","0.0-5.0-6.0-0.0","s577","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","4","practice",""
