"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_coding","item_text","options","response","coded_response","exp_id"
"3592","13","text","0","3594","0.0-0.0","s525","","","","","","","","","","","","","",""
"2324","66","poldrack-text","1","6919","0.0-1.0","s525","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb finger</p></div>","2324","500","fmri_response_test","","","","","","","","","",""
"1238","89","poldrack-text","2","8659","0.0-2.0","s525","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1238","500","fmri_response_test","","","","","","","","","",""
"350","71","poldrack-text","3","9511","0.0-3.0","s525","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","350","500","fmri_response_test","","","","","","","","","",""
"346","82","poldrack-text","4","10359","0.0-4.0","s525","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","346","500","fmri_response_test","","","","","","","","","",""
"528","77","poldrack-text","5","11389","0.0-5.0","s525","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","528","500","fmri_response_test","","","","","","","","","",""
"18766","32","poldrack-single-stim","6","30660","0.0-6.0","s525","","18766","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","18766","","","","","","",""
"21207","32","poldrack-text","7","51867","0.0-7.0","s525","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","21207","0","fmri_scanner_wait","","","","","","","","","",""
"4550","84","poldrack-text","8","56417","0.0-8.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","4550","0","fmri_trigger_wait","","","","","","","","","",""
"678","84","poldrack-text","9","57097","0.0-9.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","10","57777","0.0-10.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","11","58457","0.0-11.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","12","59137","0.0-12.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","13","59817","0.0-13.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","14","60497","0.0-14.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"678","84","poldrack-text","15","61176","0.0-15.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","16","61856","0.0-16.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","17","62536","0.0-17.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","18","63216","0.0-18.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","19","63896","0.0-19.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","20","64576","0.0-20.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","21","65256","0.0-21.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","22","65936","0.0-22.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","23","66616","0.0-23.0","s525","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","67618","0.0-24.0","s525","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"5653","66","poldrack-single-stim","25","78933","0.0-25.0-0.0","s525","","11312","0","","<div class = centerbox><p class=item-text>I have difficulty maintaining my focus on projects that take more than a few months to complete.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","reverse","I have difficulty maintaining my focus on projects that take more than a few months to complete.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","1","5",""
"3383","71","poldrack-single-stim","26","88548","0.0-25.0-1.0","s525","","9612","0","","<div class = centerbox><p class=item-text>New ideas and projects sometimes distract me from previous ones.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","reverse","New ideas and projects sometimes distract me from previous ones.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","3","3",""
"3205","71","poldrack-single-stim","27","97755","0.0-25.0-2.0","s525","","9204","0","","<div class = centerbox><p class=item-text>I do certain things that are bad for me, if they are fun.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","reverse","I do certain things that are bad for me, if they are fun.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","3","3",""
"3489","89","poldrack-single-stim","28","107302","0.0-25.0-3.0","s525","","9544","0","","<div class = centerbox><p class=item-text>I am good at resisting temptation.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","forward","I am good at resisting temptation.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","2","2",""
"2989","89","poldrack-single-stim","29","116780","0.0-25.0-4.0","s525","","9476","0","","<div class = centerbox><p class=item-text>I often act without thinking through all the alternatives.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","reverse","I often act without thinking through all the alternatives.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","2","4",""
"1524","77","poldrack-single-stim","30","125987","0.0-25.0-5.0","s525","","9204","0","","<div class = centerbox><p class=item-text>I am a hard worker.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","forward","I am a hard worker.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","5","5",""
"2976","82","poldrack-single-stim","31","136078","0.0-25.0-6.0","s525","","10088","0","","<div class = centerbox><p class=item-text>There is plenty of time left in my life to make new plans.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very Untrue</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very True</span></div></div>","66,89,71,82,77","8500","future_time","forward","There is plenty of time left in my life to make new plans.","<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","4","4",""
"2511","89","poldrack-single-stim","32","146984","0.0-25.0-7.0","s525","","10904","0","","<div class = centerbox><p class=item-text>I have the sense that time is running out.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very Untrue</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very True</span></div></div>","66,89,71,82,77","8500","future_time","forward","I have the sense that time is running out.","<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","2","2",""
"2430","71","poldrack-single-stim","33","156871","0.0-25.0-8.0","s525","","9884","0","","<div class = centerbox><p class=item-text>I have a hard time breaking bad habits.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","reverse","I have a hard time breaking bad habits.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","3","3",""
"6485","89","poldrack-single-stim","34","166010","0.0-25.0-9.0","s525","","9136","0","","<div class = centerbox><p class=item-text>Do you sometimes like doing things that are a bit frightening?</p></div><div class=response-text><div class=response-item>No</div><div class=response-item>Yes</div></div>","66,89","8500","impulsive_venture","forward","Do you sometimes like doing things that are a bit frightening?","No,Yes","2","2",""
"4435","82","poldrack-single-stim","35","176373","0.0-25.0-10.0","s525","","10360","0","","<div class = centerbox><p class=item-text>I finish whatever I begin.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","forward","I finish whatever I begin.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","4","4",""
"3480","82","poldrack-single-stim","36","186055","0.0-25.0-11.0","s525","","9680","0","","<div class = centerbox><p class=item-text>Setbacks don't discourage me.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","forward","Setbacks don't discourage me.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","4","4",""
"3019","71","poldrack-single-stim","37","196214","0.0-25.0-12.0","s525","","10156","0","","<div class = centerbox><p class=item-text>People would say that I have iron self-discipline.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","forward","People would say that I have iron self-discipline.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","3","3",""
"7142","71","poldrack-single-stim","38","205419","0.0-25.0-13.0","s525","","9204","0","","<div class = centerbox><p class=item-text>When I am really excited, I tend not to think of the consequences of my actions.</p></div><div class=response-text><div class=response-item><span style=""font-size: 30px"">Disagree Strongly</span></div><div class=response-item><span style=""font-size: 30px"">Disagree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Strongly</span></div></div>","66,89,71,82","8500","upps","forward","When I am really excited, I tend not to think of the consequences of my actions.","<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","3","3",""
"2781","77","poldrack-single-stim","39","216598","0.0-25.0-14.0","s525","","11176","0","","<div class = centerbox><p class=item-text>I am able to work effectively toward long-term goals.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","forward","I am able to work effectively toward long-term goals.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","5","5",""
"4207","82","poldrack-single-stim","40","225873","0.0-25.0-15.0","s525","","9272","0","","<div class = centerbox><p class=item-text>Sometimes I can't stop myself from doing something, even if I know it is wrong.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","reverse","Sometimes I can't stop myself from doing something, even if I know it is wrong.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","4","2",""
"3422","77","poldrack-single-stim","41","235487","0.0-25.0-16.0","s525","","9612","0","","<div class = centerbox><p class=item-text>As I get older, I begin to experience time as limited.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very Untrue</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very True</span></div></div>","66,89,71,82,77","8500","future_time","forward","As I get older, I begin to experience time as limited.","<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","5","5",""
"6289","66","poldrack-single-stim","42","244557","0.0-25.0-17.0","s525","","9068","0","","<div class = centerbox><p class=item-text>Others would say I make bad choices when I am extremely happy about something.</p></div><div class=response-text><div class=response-item><span style=""font-size: 30px"">Disagree Strongly</span></div><div class=response-item><span style=""font-size: 30px"">Disagree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Strongly</span></div></div>","66,89,71,82","8500","upps","forward","Others would say I make bad choices when I am extremely happy about something.","<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","1","1",""
